"CODGEO";"LIBGEO";"P12_POP";"SUPERF";"typoA";"typoB"
"28410";"Villampuy";329;17;"CLASSE 5";"A"
"28411";"Villars";156;8;"CLASSE 2";"D"
"28412";"Villeau";182;14;"CLASSE 2";"A"
"28414";"Villebon";70;2;"CLASSE 5";"A"
"28415";"Villemeux-sur-Eure";1623;19;"CLASSE 1";"F"
"28416";"Villeneuve-Saint-Nicolas";151;5;"CLASSE 3";"C"
"28417";"Villiers-le-Morhier";1351;10;"CLASSE 1";"B"
"28418";"Villiers-Saint-Orien";164;15;"CLASSE 3";"D"
"28419";"Vitray-en-Beauce";361;11;"CLASSE 5";"B"
"28421";"Voise";289;10;"CLASSE 4";"F"
"28422";"Voves";3091;33;"CLASSE 5";"B"
"28423";"Yermenonville";559;5;"CLASSE 5";"D"
"28424";"Yèvres";1714;42;"CLASSE 4";"C"
"28425";"Ymeray";622;7;"CLASSE 4";"B"
"28426";"Ymonville";489;21;"CLASSE 2";"F"
"29001";"Argol";996;32;"CLASSE 1";"D"
"29002";"Arzano";1396;34;"CLASSE 4";"A"
"29003";"Audierne";2151;3;"CLASSE 2";"E"
"29004";"Bannalec";5552;78;"CLASSE 3";"E"
"29005";"Baye";1137;7;"CLASSE 3";"E"
"29006";"Bénodet";3453;11;"CLASSE 4";"A"
"29007";"Berrien";967;56;"CLASSE 4";"B"
"29008";"Beuzec-Cap-Sizun";1055;35;"CLASSE 2";"F"
"29010";"Bodilis";1563;20;"CLASSE 2";"A"
"29011";"Bohars";3512;7;"CLASSE 2";"C"
"29012";"Bolazec";186;17;"CLASSE 5";"A"
"29013";"Botmeur";223;14;"CLASSE 5";"F"
"29014";"Botsorhel";459;26;"CLASSE 5";"A"
"29015";"Bourg-Blanc";3402;28;"CLASSE 1";"E"
"29016";"Brasparts";1032;47;"CLASSE 2";"A"
"29017";"Brélès";846;14;"CLASSE 1";"C"
"29018";"Brennilis";461;19;"CLASSE 1";"A"
"29019";"Brest";139676;50;"CLASSE 4";"C"
"29020";"Briec";5497;68;"CLASSE 4";"A"
"29021";"Brignogan-Plages";742;4;"CLASSE 5";"F"
"29022";"Camaret-sur-Mer";2602;12;"CLASSE 3";"D"
"29023";"Carantec";3150;9;"CLASSE 3";"F"
"29024";"Carhaix-Plouguer";7423;26;"CLASSE 1";"C"
"29025";"Cast";1600;38;"CLASSE 1";"B"
"29026";"Châteaulin";5181;21;"CLASSE 2";"F"
"29027";"Châteauneuf-du-Faou";3692;43;"CLASSE 2";"B"
"29028";"Cléden-Cap-Sizun";993;19;"CLASSE 1";"A"
"29029";"Cléden-Poher";1109;30;"CLASSE 1";"E"
"29030";"Cléder";3866;37;"CLASSE 4";"D"
"29031";"Clohars-Carnoët";4106;35;"CLASSE 5";"B"
"29032";"Clohars-Fouesnant";2188;13;"CLASSE 3";"D"
"29033";"Le Cloître-Pleyben";576;20;"CLASSE 2";"E"
"29034";"Le Cloître-Saint-Thégonnec";669;28;"CLASSE 1";"D"
"29035";"Coat-Méal";1057;11;"CLASSE 4";"C"
"29036";"Collorec";652;28;"CLASSE 2";"A"
"29037";"Combrit";3731;24;"CLASSE 4";"E"
"29038";"Commana";1108;40;"CLASSE 1";"E"
"29039";"Concarneau";18557;41;"CLASSE 3";"F"
"29040";"Le Conquet";2719;8;"CLASSE 2";"A"
"29041";"Coray";1888;31;"CLASSE 3";"B"
"29042";"Crozon";7692;80;"CLASSE 1";"E"
"29043";"Daoulas";1767;5;"CLASSE 1";"A"
"29044";"Dinéault";1746;46;"CLASSE 3";"B"
"29045";"Dirinon";2385;33;"CLASSE 3";"D"
"29046";"Douarnenez";14747;25;"CLASSE 1";"E"
"29047";"Le Drennec";1782;10;"CLASSE 3";"E"
"29048";"Edern";2170;40;"CLASSE 3";"D"
"29049";"Elliant";3202;70;"CLASSE 1";"B"
"29051";"Ergué-Gabéric";8140;40;"CLASSE 3";"D"
"29052";"Esquibien";1591;15;"CLASSE 4";"E"
"29053";"Le Faou";1714;12;"CLASSE 3";"E"
"29054";"La Feuillée";644;32;"CLASSE 2";"C"
"29055";"Le Folgoët";3147;10;"CLASSE 2";"E"
"29056";"La Forest-Landerneau";1818;9;"CLASSE 1";"B"
"29057";"La Forêt-Fouesnant";3276;19;"CLASSE 4";"B"
"29058";"Fouesnant";9174;33;"CLASSE 1";"E"
"29059";"Garlan";1020;13;"CLASSE 5";"B"
"29060";"Gouesnach";2623;17;"CLASSE 2";"D"
"29061";"Gouesnou";5982;12;"CLASSE 3";"E"
"29062";"Gouézec";1125;31;"CLASSE 5";"D"
"29063";"Goulien";438;13;"CLASSE 1";"E"
"29064";"Goulven";442;6;"CLASSE 1";"C"
"29065";"Gourlizon";898;10;"CLASSE 4";"E"
"29066";"Guengat";1686;23;"CLASSE 3";"C"
"29067";"Guerlesquin";1366;22;"CLASSE 1";"A"
"29068";"Guiclan";2364;43;"CLASSE 1";"E"
"29069";"Guilers";7703;19;"CLASSE 1";"A"
"29070";"Guiler-sur-Goyen";518;11;"CLASSE 1";"C"
"29071";"Guilligomarc'h";730;23;"CLASSE 2";"E"
"29072";"Guilvinec";2938;2;"CLASSE 3";"F"
"29073";"Guimaëc";959;19;"CLASSE 3";"C"
"29074";"Guimiliau";1028;11;"CLASSE 4";"F"
"29075";"Guipavas";13586;44;"CLASSE 2";"A"
"29076";"Guipronvel";786;8;"CLASSE 1";"F"
"29077";"Guissény";2033;25;"CLASSE 2";"C"
"29078";"Hanvec";1969;59;"CLASSE 5";"A"
"29079";"Henvic";1303;10;"CLASSE 4";"F"
"29080";"Hôpital-Camfrout";2228;13;"CLASSE 2";"D"
"29081";"Huelgoat";1574;15;"CLASSE 2";"E"
"29082";"Île-de-Batz";506;3;"CLASSE 5";"E"
"29083";"Île-de-Sein";203;1;"CLASSE 4";"E"
"29084";"Île-Molène";186;1;"CLASSE 5";"B"
"29085";"Île-Tudy";747;1;"CLASSE 5";"F"
"29086";"Irvillac";1380;30;"CLASSE 3";"A"
"29087";"Le Juch";727;14;"CLASSE 1";"C"
"29089";"Kergloff";942;25;"CLASSE 1";"E"
"29090";"Kerlaz";823;11;"CLASSE 1";"E"
"29091";"Kerlouan";2229;18;"CLASSE 2";"A"
"29093";"Kernilis";1411;10;"CLASSE 2";"A"
"29094";"Kernouës";721;8;"CLASSE 5";"C"
"29095";"Kersaint-Plabennec";1344;12;"CLASSE 1";"D"
"29097";"Lampaul-Guimiliau";2057;17;"CLASSE 1";"D"
"29098";"Lampaul-Plouarzel";2060;4;"CLASSE 2";"A"
"29099";"Lampaul-Ploudalmézeau";794;6;"CLASSE 5";"A"
"29100";"Lanarvily";435;6;"CLASSE 4";"C"
"29101";"Landéda";3606;11;"CLASSE 4";"D"
"29102";"Landeleau";983;30;"CLASSE 4";"F"
"29103";"Landerneau";15265;13;"CLASSE 5";"E"
"29104";"Landévennec";344;14;"CLASSE 5";"E"
"29105";"Landivisiau";9131;19;"CLASSE 1";"C"
"29106";"Landrévarzec";1750;20;"CLASSE 3";"C"
"29107";"Landudal";844;17;"CLASSE 1";"D"
"29108";"Landudec";1352;21;"CLASSE 2";"A"
"29109";"Landunvez";1462;14;"CLASSE 5";"E"
"29110";"Langolen";885;17;"CLASSE 4";"F"
"29111";"Lanhouarneau";1249;18;"CLASSE 5";"C"
"29112";"Lanildut";950;6;"CLASSE 4";"D"
"29113";"Lanmeur";2195;26;"CLASSE 3";"B"
"29114";"Lannéanou";366;16;"CLASSE 2";"F"
"29115";"Lannédern";317;12;"CLASSE 3";"C"
"29116";"Lanneuffret";134;2;"CLASSE 5";"E"
"29117";"Lannilis";5349;24;"CLASSE 5";"B"
"29119";"Lanrivoaré";1449;15;"CLASSE 4";"B"
"29120";"Lanvéoc";2224;19;"CLASSE 1";"A"
"29122";"Laz";685;34;"CLASSE 4";"C"
"29123";"Lennon";822;23;"CLASSE 5";"F"
"29124";"Lesneven";7167;10;"CLASSE 1";"B"
"29125";"Leuhan";789;33;"CLASSE 1";"A"
"29126";"Loc-Brévalaire";202;2;"CLASSE 4";"B"
"29127";"Loc-Eguiner-Saint-Thégonnec";331;8;"CLASSE 3";"A"
"29128";"Loc-Eguiner";358;12;"CLASSE 2";"C"
"29129";"Locmaria-Berrien";241;17;"CLASSE 2";"A"
"29130";"Locmaria-Plouzané";4850;23;"CLASSE 5";"C"
"29131";"Locmélar";444;16;"CLASSE 5";"C"
"29132";"Locquénolé";826;1;"CLASSE 5";"C"
"29133";"Locquirec";1395;6;"CLASSE 1";"E"
"29134";"Locronan";806;8;"CLASSE 1";"A"
"29135";"Loctudy";4001;13;"CLASSE 5";"D"
"29136";"Locunolé";1134;17;"CLASSE 3";"A"
"29137";"Logonna-Daoulas";2102;12;"CLASSE 3";"A"
"29139";"Lopérec";836;39;"CLASSE 3";"B"
"29140";"Loperhet";3602;20;"CLASSE 3";"A"
"29141";"Loqueffret";395;27;"CLASSE 2";"E"
"29142";"Lothey";448;13;"CLASSE 5";"C"
"29143";"Mahalon";921;21;"CLASSE 5";"E"
"29144";"La Martyre";765;18;"CLASSE 2";"A"
"29145";"Confort-Meilars";908;15;"CLASSE 1";"F"
"29146";"Melgven";3404;51;"CLASSE 5";"D"
"29147";"Mellac";2764;26;"CLASSE 3";"D"
"29148";"Mespaul";912;11;"CLASSE 5";"C"
"29149";"Milizac";3287;33;"CLASSE 3";"E"
"29150";"Moëlan-sur-Mer";7002;47;"CLASSE 5";"A"
"29151";"Morlaix";15507;25;"CLASSE 5";"C"
"29152";"Motreff";721;22;"CLASSE 4";"B"
"29153";"Névez";2717;25;"CLASSE 3";"A"
"29155";"Ouessant";893;16;"CLASSE 2";"F"
"29156";"Pencran";1823;9;"CLASSE 4";"C"
"29158";"Penmarch";5532;16;"CLASSE 1";"D"
"29159";"Peumerit";807;20;"CLASSE 5";"A"
"29160";"Plabennec";8277;50;"CLASSE 2";"A"
"29161";"Pleuven";2679;14;"CLASSE 3";"C"
"29162";"Pleyben";3684;76;"CLASSE 2";"B"
"29163";"Pleyber-Christ";3083;45;"CLASSE 2";"A"
"29165";"Plobannalec-Lesconil";3400;18;"CLASSE 5";"D"
"29166";"Ploéven";514;13;"CLASSE 5";"C"
"29167";"Plogastel-Saint-Germain";1857;31;"CLASSE 5";"B"
"29168";"Plogoff";1264;12;"CLASSE 2";"A"
"29169";"Plogonnec";3070;54;"CLASSE 3";"B"
"29170";"Plomelin";4155;26;"CLASSE 4";"A"
"29171";"Plomeur";3833;30;"CLASSE 5";"E"
"29172";"Plomodiern";2194;47;"CLASSE 2";"F"
"29173";"Plonéis";2084;22;"CLASSE 5";"E"
"29174";"Plonéour-Lanvern";6004;49;"CLASSE 1";"A"
"29175";"Plonévez-du-Faou";2153;81;"CLASSE 2";"C"
"29176";"Plonévez-Porzay";1794;29;"CLASSE 4";"C"
"29177";"Plouarzel";3723;43;"CLASSE 3";"F"
"29178";"Ploudalmézeau";6275;23;"CLASSE 4";"B"
"29179";"Ploudaniel";3662;46;"CLASSE 5";"D"
"29180";"Ploudiry";891;27;"CLASSE 3";"D"
"29181";"Plouédern";2792;20;"CLASSE 4";"D"
"29182";"Plouégat-Guérand";1097;17;"CLASSE 1";"E"
"29183";"Plouégat-Moysan";667;15;"CLASSE 4";"F"
"29184";"Plouénan";2484;31;"CLASSE 2";"E"
"29185";"Plouescat";3600;15;"CLASSE 3";"E"
"29186";"Plouezoc'h";1580;16;"CLASSE 2";"B"
"29187";"Plougar";789;17;"CLASSE 3";"F"
"29188";"Plougasnou";3107;34;"CLASSE 1";"F"
"29189";"Plougastel-Daoulas";13080;47;"CLASSE 5";"A"
"29190";"Plougonvelin";3889;19;"CLASSE 5";"D"
"29191";"Plougonven";3338;69;"CLASSE 2";"A"
"29192";"Plougoulm";1782;18;"CLASSE 2";"A"
"29193";"Plougourvest";1360;14;"CLASSE 2";"E"
"29195";"Plouguerneau";6352;43;"CLASSE 3";"D"
"29196";"Plouguin";2121;31;"CLASSE 1";"D"
"29197";"Plouhinec";4107;28;"CLASSE 5";"E"
"29198";"Plouider";2016;24;"CLASSE 5";"D"
"29199";"Plouigneau";4817;63;"CLASSE 5";"E"
"29201";"Ploumoguer";1942;39;"CLASSE 5";"E"
"29202";"Plounéour-Ménez";1300;52;"CLASSE 2";"A"
"29203";"Plounéour-Trez";1240;11;"CLASSE 5";"A"
"29204";"Plounéventer";2083;27;"CLASSE 4";"C"
"29205";"Plounévézel";1204;24;"CLASSE 3";"C"
"29206";"Plounévez-Lochrist";2391;40;"CLASSE 1";"D"
"29207";"Plourin-lès-Morlaix";4295;41;"CLASSE 2";"A"
"29208";"Plourin";1228;26;"CLASSE 3";"B"
"29209";"Plouvien";3708;34;"CLASSE 5";"F"
"29210";"Plouvorn";2795;35;"CLASSE 5";"E"
"29211";"Plouyé";724;38;"CLASSE 1";"A"
"29212";"Plouzané";12005;33;"CLASSE 1";"C"
"29213";"Plouzévédé";1772;19;"CLASSE 1";"B"
"29214";"Plovan";666;16;"CLASSE 5";"A"
"29215";"Plozévet";2972;27;"CLASSE 4";"C"
"29216";"Pluguffan";3735;32;"CLASSE 1";"B"
"29217";"Pont-Aven";2843;29;"CLASSE 1";"F"
"29218";"Pont-Croix";1599;8;"CLASSE 1";"A"
"29219";"Le Ponthou";168;1;"CLASSE 2";"B"
"29220";"Pont-l'Abbé";8374;18;"CLASSE 5";"E"
"29221";"Porspoder";1781;11;"CLASSE 5";"C"
"29222";"Port-Launay";422;2;"CLASSE 1";"E"
"29224";"Pouldergat";1237;24;"CLASSE 3";"E"
"29225";"Pouldreuzic";2087;17;"CLASSE 4";"C"
"29226";"Poullan-sur-Mer";1556;30;"CLASSE 1";"C"
"29227";"Poullaouen";1371;71;"CLASSE 4";"B"
"29228";"Primelin";739;9;"CLASSE 3";"D"
"29229";"Quéménéven";1137;28;"CLASSE 5";"C"
"29230";"Querrien";1731;54;"CLASSE 5";"A"
"29232";"Quimper";63360;84;"CLASSE 5";"A"
"29233";"Quimperlé";12052;32;"CLASSE 3";"C"
"29234";"Rédené";2891;24;"CLASSE 2";"E"
"29235";"Le Relecq-Kerhuon";11175;6;"CLASSE 3";"F"
"29236";"Riec-sur-Bélon";4108;55;"CLASSE 4";"F"
"29237";"La Roche-Maurice";1919;12;"CLASSE 3";"C"
"29238";"Roscanvel";876;9;"CLASSE 4";"E"
"29239";"Roscoff";3515;6;"CLASSE 2";"D"
"29240";"Rosnoën";961;34;"CLASSE 5";"F"
"29241";"Rosporden";7435;57;"CLASSE 2";"C"
"29243";"Saint-Coulitz";420;11;"CLASSE 5";"A"
"29244";"Saint-Derrien";804;12;"CLASSE 1";"F"
"29245";"Saint-Divy";1414;9;"CLASSE 3";"B"
"29246";"Saint-Eloy";219;12;"CLASSE 3";"A"
"29247";"Saint-Évarzec";3551;25;"CLASSE 1";"F"
"29248";"Saint-Frégant";731;8;"CLASSE 1";"A"
"29249";"Saint-Goazec";713;34;"CLASSE 3";"B"
"29250";"Saint-Hernin";750;29;"CLASSE 2";"F"
"29251";"Saint-Jean-du-Doigt";608;20;"CLASSE 3";"D"
"29252";"Saint-Jean-Trolimon";1008;15;"CLASSE 3";"E"
"29254";"Saint-Martin-des-Champs";4722;16;"CLASSE 2";"E"
"29255";"Saint-Méen";849;12;"CLASSE 2";"E"
"29256";"Saint-Nic";748;18;"CLASSE 5";"F"
"29257";"Saint-Pabu";2051;10;"CLASSE 5";"A"
"29259";"Saint-Pol-de-Léon";6711;23;"CLASSE 5";"A"
"29260";"Saint-Renan";7713;13;"CLASSE 3";"A"
"29261";"Saint-Rivoal";170;19;"CLASSE 4";"F"
"29262";"Saint-Sauveur";793;13;"CLASSE 3";"A"
"29263";"Saint-Ségal";1026;16;"CLASSE 2";"F"
"29264";"Saint-Servais";804;10;"CLASSE 4";"F"
"29265";"Sainte-Sève";908;10;"CLASSE 5";"A"
"29266";"Saint-Thégonnec";2618;42;"CLASSE 4";"E"
"29267";"Saint-Thois";708;18;"CLASSE 2";"A"
"29268";"Saint-Thonan";1485;11;"CLASSE 1";"F"
"29269";"Saint-Thurien";1011;21;"CLASSE 5";"B"
"29270";"Saint-Urbain";1565;15;"CLASSE 2";"B"
"29271";"Saint-Vougay";922;15;"CLASSE 2";"E"
"29272";"Saint-Yvi";2877;27;"CLASSE 5";"F"
"29273";"Santec";2328;8;"CLASSE 3";"D"
"29274";"Scaër";5358;118;"CLASSE 2";"B"
"29275";"Scrignac";805;71;"CLASSE 2";"B"
"29276";"Sibiril";1232;11;"CLASSE 4";"B"
"29277";"Sizun";2234;58;"CLASSE 4";"E"
"29278";"Spézet";1802;61;"CLASSE 1";"E"
"29279";"Taulé";2966;29;"CLASSE 5";"D"
"29280";"Telgruc-sur-Mer";2101;28;"CLASSE 1";"A"
"29281";"Tourch";1001;20;"CLASSE 5";"A"
"29282";"Trébabu";353;4;"CLASSE 3";"A"
"29284";"Treffiagat";2408;8;"CLASSE 1";"B"
"29285";"Tréflaouénan";526;8;"CLASSE 4";"F"
"29286";"Tréflévénez";269;10;"CLASSE 5";"C"
"29287";"Tréflez";911;16;"CLASSE 4";"B"
"29288";"Trégarantec";566;5;"CLASSE 5";"E"
"29289";"Trégarvan";140;10;"CLASSE 5";"A"
"29290";"Tréglonou";611;6;"CLASSE 3";"C"
"29291";"Trégourez";981;18;"CLASSE 2";"B"
"29292";"Tréguennec";325;10;"CLASSE 3";"A"
"29293";"Trégunc";6980;51;"CLASSE 5";"D"
"29294";"Le Tréhou";609;23;"CLASSE 2";"D"
"29295";"Trémaouézan";525;8;"CLASSE 3";"D"
"29296";"Tréméoc";1277;12;"CLASSE 1";"C"
"29297";"Tréméven";2282;15;"CLASSE 3";"C"
"29298";"Tréogat";555;10;"CLASSE 3";"F"
"29299";"Tréouergat";313;6;"CLASSE 3";"C"
"29300";"Le Trévoux";1527;21;"CLASSE 5";"E"
"29301";"Trézilidé";291;5;"CLASSE 4";"E"
"29302";"Pont-de-Buis-lès-Quimerch";3863;41;"CLASSE 3";"D"
"2A001";"Afa";2888;12;"CLASSE 3";"C"
"2A004";"Ajaccio";66245;82;"CLASSE 3";"F"
"2A006";"Alata";3076;30;"CLASSE 3";"B"
"2A008";"Albitreccia";1566;46;"CLASSE 1";"D"
"2A011";"Altagène";48;5;"CLASSE 2";"F"
"2A014";"Ambiegna";66;6;"CLASSE 4";"C"
"2A017";"Appietto";1619;34;"CLASSE 2";"F"
"2A018";"Arbellara";143;11;"CLASSE 1";"E"
"2A019";"Arbori";59;20;"CLASSE 1";"D"
"2A021";"Argiusta-Moriccio";79;10;"CLASSE 4";"D"
"2A022";"Arro";84;9;"CLASSE 5";"D"
"2A024";"Aullène";184;41;"CLASSE 4";"C"
"2A026";"Azilone-Ampaza";156;8;"CLASSE 5";"B"
"2A027";"Azzana";40;12;"CLASSE 2";"B"
"2A028";"Balogna";130;28;"CLASSE 4";"B"
"2A031";"Bastelica";537;128;"CLASSE 3";"D"
"2A032";"Bastelicaccia";3518;18;"CLASSE 4";"D"
"2A035";"Belvédère-Campomoro";153;26;"CLASSE 5";"D"
"2A038";"Bilia";48;7;"CLASSE 3";"A"
"2A040";"Bocognano";454;71;"CLASSE 1";"E"
"2A041";"Bonifacio";2950;138;"CLASSE 1";"C"
"2A048";"Calcatoggio";532;23;"CLASSE 1";"D"
"2A056";"Campo";95;3;"CLASSE 3";"D"
"2A060";"Cannelle";50;3;"CLASSE 1";"A"
"2A061";"Carbini";108;16;"CLASSE 1";"C"
"2A062";"Carbuccia";347;14;"CLASSE 2";"E"
"2A064";"Cardo-Torgia";34;4;"CLASSE 1";"A"
"2A065";"Cargèse";1263;46;"CLASSE 4";"B"
"2A066";"Cargiaca";55;8;"CLASSE 5";"C"
"2A070";"Casaglione";370;15;"CLASSE 1";"B"
"2A071";"Casalabriva";185;16;"CLASSE 1";"F"
"2A085";"Cauro";1311;28;"CLASSE 3";"B"
"2A089";"Ciamannacce";137;25;"CLASSE 2";"F"
"2A090";"Coggia";827;31;"CLASSE 2";"F"
"2A091";"Cognocoli-Monticchi";173;36;"CLASSE 3";"E"
"2A092";"Conca";1097;78;"CLASSE 5";"A"
"2A094";"Corrano";86;13;"CLASSE 1";"C"
"2A098";"Coti-Chiavari";737;63;"CLASSE 1";"A"
"2A099";"Cozzano";282;26;"CLASSE 5";"A"
"2A100";"Cristinacce";57;20;"CLASSE 2";"C"
"2A103";"Cuttoli-Corticchiato";1947;30;"CLASSE 5";"C"
"2A104";"Eccica-Suarella";1090;14;"CLASSE 2";"B"
"2A108";"Évisa";202;67;"CLASSE 1";"C"
"2A114";"Figari";1392;100;"CLASSE 5";"A"
"2A115";"Foce";144;21;"CLASSE 1";"F"
"2A117";"Forciolo";66;7;"CLASSE 3";"E"
"2A118";"Fozzano";197;20;"CLASSE 2";"D"
"2A119";"Frasseto";122;17;"CLASSE 2";"A"
"2A127";"Giuncheto";80;8;"CLASSE 3";"A"
"2A128";"Granace";58;4;"CLASSE 3";"E"
"2A129";"Grossa";42;18;"CLASSE 2";"B"
"2A130";"Grosseto-Prugna";2690;32;"CLASSE 4";"F"
"2A131";"Guagno";142;43;"CLASSE 2";"D"
"2A132";"Guargualé";136;11;"CLASSE 2";"F"
"2A133";"Guitera-les-Bains";129;15;"CLASSE 1";"A"
"2A139";"Lecci";1419;27;"CLASSE 5";"B"
"2A141";"Letia";110;36;"CLASSE 4";"A"
"2A142";"Levie";737;86;"CLASSE 3";"D"
"2A144";"Lopigna";99;20;"CLASSE 1";"C"
"2A146";"Loreto-di-Tallano";50;7;"CLASSE 5";"C"
"2A154";"Marignana";102;55;"CLASSE 1";"B"
"2A158";"Mela";31;5;"CLASSE 1";"F"
"2A160";"Moca-Croce";232;28;"CLASSE 4";"B"
"2A163";"Monacia-d'Aullène";467;40;"CLASSE 5";"C"
"2A174";"Murzo";81;21;"CLASSE 1";"B"
"2A181";"Ocana";548;26;"CLASSE 2";"A"
"2A186";"Olivese";237;30;"CLASSE 1";"B"
"2A189";"Olmeto";1213;44;"CLASSE 4";"F"
"2A191";"Olmiccia";112;11;"CLASSE 5";"A"
"2A196";"Orto";58;16;"CLASSE 1";"B"
"2A197";"Osani";104;52;"CLASSE 3";"B"
"2A198";"Ota";589;38;"CLASSE 5";"C"
"2A200";"Palneca";166;44;"CLASSE 5";"F"
"2A203";"Partinello";103;19;"CLASSE 3";"B"
"2A204";"Pastricciola";97;46;"CLASSE 2";"D"
"2A209";"Peri";1750;24;"CLASSE 2";"C"
"2A211";"Petreto-Bicchisano";561;39;"CLASSE 1";"B"
"2A212";"Piana";479;63;"CLASSE 3";"D"
"2A215";"Pianottoli-Caldarello";934;43;"CLASSE 2";"D"
"2A228";"Pietrosella";1258;35;"CLASSE 5";"E"
"2A232";"Pila-Canale";286;19;"CLASSE 2";"F"
"2A240";"Poggiolo";100;12;"CLASSE 3";"B"
"2A247";"Porto-Vecchio";10064;169;"CLASSE 1";"C"
"2A249";"Propriano";3622;19;"CLASSE 1";"D"
"2A253";"Quasquara";53;6;"CLASSE 2";"F"
"2A254";"Quenza";206;96;"CLASSE 1";"D"
"2A258";"Renno";59;13;"CLASSE 2";"E"
"2A259";"Rezza";54;13;"CLASSE 3";"D"
"2A262";"Rosazia";55;20;"CLASSE 4";"A"
"2A266";"Salice";75;22;"CLASSE 5";"C"
"2A268";"Sampolo";58;7;"CLASSE 1";"C"
"2A269";"Sari-Solenzara";1385;74;"CLASSE 2";"C"
"2A270";"Sari-d'Orcino";321;22;"CLASSE 1";"F"
"2A271";"Sarrola-Carcopino";2219;27;"CLASSE 1";"A"
"2A272";"Sartène";3418;200;"CLASSE 1";"F"
"2A276";"Serra-di-Ferro";497;33;"CLASSE 4";"A"
"2A278";"Serra-di-Scopamène";104;20;"CLASSE 2";"E"
"2A279";"Serriera";119;37;"CLASSE 2";"B"
"2A282";"Soccia";154;28;"CLASSE 3";"B"
"2A284";"Sollacaro";350;24;"CLASSE 5";"F"
"2A285";"Sorbollano";64;8;"CLASSE 1";"C"
"2A288";"Sotta";1104;67;"CLASSE 1";"F"
"2A295";"Sant'Andréa-d'Orcino";75;9;"CLASSE 4";"F"
"2A300";"San-Gavino-di-Carbini";1061;48;"CLASSE 4";"F"
"2A308";"Sainte-Lucie-de-Tallano";446;26;"CLASSE 3";"D"
"2A310";"Santa-Maria-Figaniella";80;13;"CLASSE 3";"D"
"2A312";"Santa-Maria-Siché";470;11;"CLASSE 5";"F"
"2A322";"Tasso";89;17;"CLASSE 3";"B"
"2A323";"Tavaco";308;11;"CLASSE 3";"E"
"2A324";"Tavera";385;32;"CLASSE 4";"B"
"2A326";"Tolla";111;25;"CLASSE 5";"A"
"2A330";"Ucciani";468;28;"CLASSE 4";"B"
"2A331";"Urbalacone";71;8;"CLASSE 5";"B"
"2A336";"Valle-di-Mezzana";345;7;"CLASSE 3";"C"
"2A345";"Vero";506;23;"CLASSE 2";"C"
"2A348";"Vico";855;52;"CLASSE 3";"B"
"2A349";"Viggianello";685;17;"CLASSE 5";"C"
"2A351";"Villanova";348;11;"CLASSE 4";"D"
"2A357";"Zérubia";31;13;"CLASSE 2";"E"
"2A358";"Zévaco";62;10;"CLASSE 2";"D"
"2A359";"Zicavo";231;93;"CLASSE 5";"F"
"2A360";"Zigliara";139;13;"CLASSE 2";"C"
"2A362";"Zonza";2482;134;"CLASSE 4";"D"
"2A363";"Zoza";51;5;"CLASSE 3";"F"
"2B002";"Aghione";230;34;"CLASSE 2";"C"
"2B003";"Aiti";33;12;"CLASSE 1";"E"
"2B005";"Alando";29;3;"CLASSE 1";"C"
"2B007";"Albertacce";215;97;"CLASSE 3";"F"
"2B009";"Aléria";2191;58;"CLASSE 5";"F"
"2B010";"Algajola";293;2;"CLASSE 3";"C"
"2B012";"Altiani";61;18;"CLASSE 5";"C"
"2B013";"Alzi";18;3;"CLASSE 1";"D"
"2B015";"Ampriani";13;2;"CLASSE 1";"A"
"2B016";"Antisanti";429;48;"CLASSE 3";"E"
"2B020";"Aregno";594;9;"CLASSE 4";"E"
"2B023";"Asco";118;123;"CLASSE 5";"E"
"2B025";"Avapessa";85;3;"CLASSE 3";"C"
"2B029";"Barbaggio";243;11;"CLASSE 3";"B"
"2B030";"Barrettali";131;18;"CLASSE 5";"D"
"2B033";"Bastia";43479;19;"CLASSE 1";"E"
"2B034";"Belgodère";525;13;"CLASSE 4";"E"
"2B036";"Bigorno";78;9;"CLASSE 5";"F"
"2B037";"Biguglia";7547;22;"CLASSE 1";"A"
"2B039";"Bisinchi";180;13;"CLASSE 4";"C"
"2B042";"Borgo";7950;38;"CLASSE 3";"E"
"2B043";"Brando";1654;22;"CLASSE 2";"F"
"2B045";"Bustanico";60;12;"CLASSE 2";"F"
"2B046";"Cagnano";184;15;"CLASSE 4";"D"
"2B047";"Calacuccia";296;19;"CLASSE 1";"D"
"2B049";"Calenzana";2308;183;"CLASSE 5";"E"
"2B050";"Calvi";5514;31;"CLASSE 4";"F"
"2B051";"Cambia";86;8;"CLASSE 2";"D"
"2B052";"Campana";20;2;"CLASSE 5";"F"
"2B053";"Campi";18;5;"CLASSE 3";"B"
"2B054";"Campile";185;10;"CLASSE 1";"B"
"2B055";"Campitello";120;8;"CLASSE 4";"E"
"2B057";"Canale-di-Verde";355;15;"CLASSE 5";"C"
"2B058";"Canari";314;17;"CLASSE 3";"A"
"2B059";"Canavaggia";99;35;"CLASSE 2";"A"
"2B063";"Carcheto-Brustico";28;5;"CLASSE 5";"C"
"2B067";"Carpineto";29;2;"CLASSE 1";"C"
"2B068";"Carticasi";35;13;"CLASSE 5";"F"
"2B069";"Casabianca";94;4;"CLASSE 4";"C"
"2B072";"Casalta";50;5;"CLASSE 2";"C"
"2B073";"Casamaccioli";98;36;"CLASSE 4";"E"
