"CODGEO";"LIBGEO";"P12_POP";"SUPERF";"typoA";"typoB"
"01114";"Confort";553;12;"CLASSE 2";"F"
"01115";"Confrançon";1245;18;"CLASSE 1";"E"
"01116";"Contrevoz";528;14;"CLASSE 1";"F"
"01117";"Conzieu";145;7;"CLASSE 2";"D"
"01118";"Corbonod";1203;32;"CLASSE 1";"C"
"01119";"Corcelles";238;14;"CLASSE 1";"C"
"01121";"Corlier";119;5;"CLASSE 5";"B"
"01122";"Cormaranche-en-Bugey";815;19;"CLASSE 4";"E"
"01123";"Cormoranche-sur-Saône";1081;10;"CLASSE 1";"F"
"01124";"Cormoz";670;20;"CLASSE 3";"B"
"01125";"Corveissiat";614;23;"CLASSE 5";"B"
"01127";"Courmangoux";507;15;"CLASSE 2";"B"
"01128";"Courtes";272;9;"CLASSE 3";"E"
"01129";"Crans";263;13;"CLASSE 5";"A"
"01130";"Cras-sur-Reyssouze";1368;14;"CLASSE 3";"D"
"01133";"Cressin-Rochefort";375;8;"CLASSE 4";"A"
"01134";"Crottet";1716;12;"CLASSE 5";"C"
"01135";"Crozet";1964;27;"CLASSE 2";"C"
"01136";"Cruzilles-lès-Mépillat";829;12;"CLASSE 3";"C"
"01138";"Culoz";2940;19;"CLASSE 5";"B"
"01139";"Curciat-Dongalon";451;24;"CLASSE 2";"B"
"01140";"Curtafond";726;12;"CLASSE 1";"D"
"01141";"Cuzieu";410;5;"CLASSE 1";"D"
"01142";"Dagneux";4169;7;"CLASSE 1";"E"
"01143";"Divonne-les-Bains";8615;34;"CLASSE 5";"B"
"01144";"Dommartin";872;17;"CLASSE 1";"E"
"01145";"Dompierre-sur-Veyle";1192;29;"CLASSE 2";"E"
"01146";"Dompierre-sur-Chalaronne";389;5;"CLASSE 4";"F"
"01147";"Domsure";465;15;"CLASSE 1";"C"
"01148";"Dortan";1871;18;"CLASSE 3";"E"
"01149";"Douvres";993;5;"CLASSE 2";"F"
"01150";"Drom";214;8;"CLASSE 2";"C"
"01151";"Druillat";1153;21;"CLASSE 1";"F"
"01152";"Échallon";770;28;"CLASSE 5";"A"
"01153";"Échenevex";1813;16;"CLASSE 4";"B"
"01154";"Étrez";796;12;"CLASSE 5";"E"
"01155";"Évosges";144;12;"CLASSE 3";"D"
"01156";"Faramans";742;11;"CLASSE 5";"E"
"01157";"Fareins";2196;8;"CLASSE 4";"D"
"01158";"Farges";919;14;"CLASSE 1";"D"
"01159";"Feillens";3147;15;"CLASSE 5";"A"
"01160";"Ferney-Voltaire";8844;5;"CLASSE 3";"D"
"01162";"Flaxieu";65;3;"CLASSE 3";"D"
"01163";"Foissiat";1980;40;"CLASSE 2";"C"
"01165";"Francheleins";1450;14;"CLASSE 5";"B"
"01166";"Frans";1972;8;"CLASSE 5";"A"
"01167";"Garnerans";663;9;"CLASSE 5";"F"
"01169";"Genouilleux";598;4;"CLASSE 2";"B"
"01170";"Béard-Géovreissiat";974;5;"CLASSE 2";"B"
"01171";"Géovreisset";920;3;"CLASSE 3";"A"
"01172";"Germagnat";147;9;"CLASSE 1";"A"
"01173";"Gex";10677;32;"CLASSE 3";"D"
"01174";"Giron";168;9;"CLASSE 2";"B"
"01175";"Gorrevod";816;7;"CLASSE 1";"E"
"01176";"Le Grand-Abergement";117;32;"CLASSE 2";"C"
"01177";"Grand-Corent";170;7;"CLASSE 2";"A"
"01179";"Grièges";1943;15;"CLASSE 2";"E"
"01180";"Grilly";779;8;"CLASSE 3";"F"
"01181";"Groissiat";1164;6;"CLASSE 5";"E"
"01182";"Groslée";357;7;"CLASSE 1";"E"
"01183";"Guéreins";1388;5;"CLASSE 5";"B"
"01184";"Hautecourt-Romanèche";796;22;"CLASSE 5";"D"
"01185";"Hauteville-Lompnes";3921;50;"CLASSE 2";"C"
"01186";"Hostiaz";85;11;"CLASSE 3";"E"
"01187";"Hotonnes";300;28;"CLASSE 3";"B"
"01188";"Illiat";583;20;"CLASSE 5";"F"
"01189";"Injoux-Génissiat";1117;30;"CLASSE 4";"E"
"01190";"Innimond";117;13;"CLASSE 3";"D"
"01191";"Izenave";169;13;"CLASSE 5";"B"
"01192";"Izernore";2309;21;"CLASSE 2";"F"
"01193";"Izieu";211;8;"CLASSE 1";"B"
"01194";"Jassans-Riottier";6306;5;"CLASSE 5";"F"
"01195";"Jasseron";1664;19;"CLASSE 3";"B"
"01196";"Jayat";1091;16;"CLASSE 3";"F"
"01197";"Journans";341;2;"CLASSE 2";"E"
"01198";"Joyeux";250;17;"CLASSE 4";"B"
"01199";"Jujurieux";2148;15;"CLASSE 1";"F"
"01200";"Labalme";202;9;"CLASSE 4";"F"
"01202";"Lagnieu";6789;27;"CLASSE 5";"C"
"01203";"Laiz";1149;10;"CLASSE 1";"E"
"01204";"Lalleyriat";255;15;"CLASSE 2";"E"
"01205";"Lancrans";1038;10;"CLASSE 5";"F"
"01206";"Lantenay";263;7;"CLASSE 1";"C"
"01207";"Lapeyrouse";297;20;"CLASSE 4";"C"
"01208";"Lavours";152;6;"CLASSE 3";"D"
"01209";"Léaz";614;11;"CLASSE 1";"A"
"01210";"Lélex";229;18;"CLASSE 2";"F"
"01211";"Lent";1385;31;"CLASSE 3";"D"
"01212";"Lescheroux";688;20;"CLASSE 4";"A"
"01213";"Leyment";1257;14;"CLASSE 3";"F"
"01214";"Leyssard";147;9;"CLASSE 3";"F"
"01215";"Lhôpital";53;4;"CLASSE 1";"A"
"01216";"Lhuis";873;24;"CLASSE 5";"E"
"01218";"Lochieu";96;7;"CLASSE 5";"C"
"01219";"Lompnas";154;13;"CLASSE 2";"E"
"01221";"Lompnieu";122;11;"CLASSE 5";"C"
"01224";"Loyettes";3004;21;"CLASSE 4";"F"
"01225";"Lurcy";394;5;"CLASSE 1";"C"
"01227";"Magnieu";428;6;"CLASSE 3";"D"
"01228";"Maillat";657;11;"CLASSE 1";"C"
"01229";"Malafretaz";1076;9;"CLASSE 4";"D"
"01230";"Mantenay-Montlin";302;11;"CLASSE 4";"F"
"01231";"Manziat";1940;13;"CLASSE 3";"D"
"01232";"Marboz";2208;40;"CLASSE 1";"D"
"01233";"Marchamp";129;13;"CLASSE 5";"D"
"01234";"Marignieu";156;4;"CLASSE 3";"D"
"01235";"Marlieux";960;17;"CLASSE 2";"A"
"01236";"Marsonnas";1009;18;"CLASSE 2";"A"
"01237";"Martignat";1585;13;"CLASSE 1";"F"
"01238";"Massieux";2420;3;"CLASSE 2";"A"
"01239";"Massignieu-de-Rives";628;10;"CLASSE 1";"A"
"01240";"Matafelon-Granges";652;22;"CLASSE 3";"B"
"01241";"Meillonnas";1295;18;"CLASSE 4";"D"
"01242";"Mérignat";130;3;"CLASSE 4";"B"
"01243";"Messimy-sur-Saône";1213;6;"CLASSE 5";"B"
"01244";"Meximieux";7304;14;"CLASSE 4";"D"
"01245";"Bohas-Meyriat-Rignat";853;24;"CLASSE 1";"B"
"01246";"Mézériat";2111;19;"CLASSE 2";"B"
"01247";"Mijoux";374;22;"CLASSE 3";"D"
"01248";"Mionnay";2115;20;"CLASSE 2";"C"
"01249";"Miribel";9128;24;"CLASSE 3";"E"
"01250";"Misérieux";1785;7;"CLASSE 1";"E"
"01252";"Mogneneins";751;9;"CLASSE 1";"F"
"01254";"Montagnat";1748;14;"CLASSE 2";"F"
"01255";"Montagnieu";537;6;"CLASSE 4";"F"
"01257";"Montanges";333;14;"CLASSE 3";"E"
"01258";"Montceaux";1222;10;"CLASSE 5";"D"
"01259";"Montcet";655;7;"CLASSE 5";"D"
"01260";"Le Montellier";241;15;"CLASSE 2";"A"
"01261";"Monthieux";646;11;"CLASSE 3";"C"
"01262";"Montluel";7112;40;"CLASSE 5";"D"
"01263";"Montmerle-sur-Saône";3847;4;"CLASSE 4";"D"
"01264";"Montracol";984;15;"CLASSE 1";"A"
"01265";"Montréal-la-Cluse";3424;13;"CLASSE 4";"D"
"01266";"Montrevel-en-Bresse";2415;10;"CLASSE 1";"F"
"01267";"Nurieux-Volognat";1037;19;"CLASSE 3";"B"
"01268";"Murs-et-Gélignieux";248;6;"CLASSE 3";"B"
"01269";"Nantua";3588;13;"CLASSE 2";"C"
"01271";"Nattages";571;10;"CLASSE 3";"A"
"01272";"Neuville-les-Dames";1490;27;"CLASSE 5";"A"
"01273";"Neuville-sur-Ain";1595;20;"CLASSE 3";"F"
"01274";"Les Neyrolles";634;10;"CLASSE 3";"E"
"01275";"Neyron";2506;5;"CLASSE 5";"D"
"01276";"Niévroz";1502;10;"CLASSE 3";"E"
"01277";"Nivollet-Montgriffon";127;8;"CLASSE 4";"B"
"01279";"Oncieu";95;8;"CLASSE 3";"E"
"01280";"Ordonnaz";153;15;"CLASSE 2";"F"
"01281";"Ornex";4027;6;"CLASSE 5";"E"
"01282";"Outriaz";254;6;"CLASSE 1";"A"
"01283";"Oyonnax";22436;36;"CLASSE 1";"B"
"01284";"Ozan";643;7;"CLASSE 5";"E"
"01285";"Parcieux";1124;3;"CLASSE 2";"F"
"01286";"Parves";369;6;"CLASSE 5";"A"
"01288";"Péron";2324;26;"CLASSE 4";"F"
"01289";"Péronnas";6095;18;"CLASSE 1";"B"
"01290";"Pérouges";1209;19;"CLASSE 4";"F"
"01291";"Perrex";795;11;"CLASSE 4";"C"
"01292";"Le Petit-Abergement";135;27;"CLASSE 3";"F"
