CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI
01080;Champdor;82;01;014;0106;8203;01000;540;0;04;01;222;240100578;CC
01081;Champfromier;82;01;014;0103;8219;01000;000;0;05;00;400;240100891;CC
01082;Chanay;82;01;011;0131;8219;01000;998;0;05;00;300;240100891;CC
01083;Chaneins;82;01;012;0130;8213;01000;002;0;05;09;112;240100941;CC
01084;Chanoz-Châtenay;82;01;012;0110;8202;01000;997;0;05;00;120;240100669;CC
01085;La Chapelle-du-Châtelard;82;01;012;0135;8213;01000;002;0;04;09;112;240100875;CC
01087;Charix;82;01;014;0122;8203;01000;998;0;04;00;300;240100909;CC
01088;Charnoz-sur-Ain;82;01;012;0119;8201;01000;002;0;05;09;112;240100883;CC
01089;Château-Gaillard;82;01;011;0101;8201;01000;002;0;06;09;112;240100883;CC
01090;Châtenay;82;01;012;0108;8214;01000;002;0;04;09;112;240100677;CC
01091;Châtillon-en-Michaille;82;01;014;0103;8219;01000;998;0;07;00;300;240100891;CC
01092;Châtillon-la-Palud;82;01;012;0108;8201;01000;002;0;06;09;112;240100677;CC
01093;Châtillon-sur-Chalaronne;82;01;012;0110;8213;01124;997;1;14;00;120;240100644;CC
01094;Chavannes-sur-Reyssouze;82;01;012;0126;0053;01000;997;0;05;00;120;240100685;CC
01095;Chavannes-sur-Suran;82;01;012;0133;8202;01000;071;0;05;07;112;240100636;CC
01096;Chaveyriat;82;01;012;0110;8202;01000;071;0;05;07;112;240100669;CC
01097;Chavornay;82;01;011;0109;8216;01000;998;0;03;00;300;240100370;CC
01098;Chazey-Bons;82;01;011;0104;8216;01000;294;0;05;02;212;240100354;CC
01099;Chazey-sur-Ain;82;01;011;0117;8201;01000;002;0;06;09;112;240100883;CC
01100;Cheignieu-la-Balme;82;01;011;0136;8216;01000;998;0;03;00;300;240100743;CC
01101;Chevillard;82;01;014;0106;8203;01000;998;0;03;00;300;240100867;CC
01102;Chevroux;82;01;012;0126;0053;01000;088;0;05;06;112;240100685;CC
01103;Chevry;82;01;013;0114;8219;01108;037;1;12;08;112;240100750;CC
01104;Chézery-Forens;82;01;013;0112;8219;01000;998;0;04;00;300;240100750;CC
01105;Civrieux;82;01;012;0142;8214;01000;002;0;06;09;112;240100602;CC
01106;Cize;82;01;012;0107;8202;01000;071;0;03;07;112;240100693;CC
01107;Cleyzieu;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC
01108;Coligny;82;01;012;0111;8202;01000;071;0;06;07;112;240100651;CC
01109;Collonges;82;01;013;0112;8219;01000;037;0;06;08;112;240100750;CC
01110;Colomieu;82;01;011;0104;8216;01000;294;0;03;02;212;240100347;CC
01111;Conand;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC
01112;Condamine;82;01;014;0106;8203;01102;998;1;11;00;300;240100867;CC
01113;Condeissiat;82;01;012;0110;8202;01000;997;0;05;00;120;240100644;CC
01114;Confort;82;01;013;0112;8219;01000;998;0;05;00;300;240100891;CC
01115;Confrançon;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC
01116;Contrevoz;82;01;011;0136;8216;01000;294;0;04;02;212;240100354;CC
01117;Conzieu;82;01;011;0104;8216;01000;294;0;03;02;212;240100354;CC
01118;Corbonod;82;01;011;0131;8219;00164;998;1;14;00;300;247400823;CC
01119;Corcelles;82;01;014;0106;8203;01000;998;0;04;00;300;240100578;CC
01121;Corlier;82;01;011;0115;8203;01000;998;0;03;00;300;240100578;CC
01122;Cormaranche-en-Bugey;82;01;011;0115;8203;01000;540;0;05;01;222;240100578;CC
01123;Cormoranche-sur-Saône;82;01;012;0127;0053;01000;088;0;06;06;112;240100826;CC
01124;Cormoz;82;01;012;0129;8202;01000;071;0;05;07;112;240100339;CC
01125;Corveissiat;82;01;012;0133;8203;01000;997;0;05;00;120;240100636;CC
01127;Courmangoux;82;01;012;0133;8202;01000;071;0;04;07;112;240100636;CC
