NIVGEO;CODGEO;LIBGEO;NB_COM
ARR;011;Belley;115
ARR;012;Bourg-en-Bresse;201
ARR;013;Gex;27
ARR;014;Nantua;65
ARR;021;Château-Thierry;108
ARR;022;Laon;244
ARR;023;Saint-Quentin;126
ARR;024;Soissons;166
ARR;025;Vervins;160
ARR;031;Montluçon;89
ARR;032;Moulins;109
ARR;033;Vichy;119
ARR;041;Barcelonnette;14
ARR;042;Castellane;41
ARR;043;Digne-les-Bains;46
ARR;044;Forcalquier;97
ARR;051;Briançon;37
ARR;052;Gap;130
ARR;061;Grasse;62
ARR;062;Nice;101
ARR;071;Largentière;153
ARR;072;Privas;66
ARR;073;Tournon-sur-Rhône;120
ARR;081;Charleville-Mézières;160
ARR;082;Rethel;101
ARR;083;Sedan;73
ARR;084;Vouziers;118
ARR;091;Foix;119
ARR;092;Pamiers;91
ARR;093;Saint-Girons;121
ARR;101;Bar-sur-Aube;104
ARR;102;Nogent-sur-Seine;80
ARR;103;Troyes;247
ARR;111;Carcassonne;187
ARR;112;Limoux;140
ARR;113;Narbonne;109
ARR;121;Millau;110
ARR;122;Rodez;79
ARR;123;Villefranche-de-Rouergue;96
ARR;131;Aix-en-Provence;44
ARR;132;Arles;36
ARR;133;Marseille;21
ARR;134;Istres;18
ARR;141;Bayeux;123
ARR;142;Caen;208
ARR;143;Lisieux;162
ARR;144;Vire;45
ARR;151;Aurillac;94
ARR;152;Mauriac;55
ARR;153;Saint-Flour;98
ARR;161;Angoulême;117
ARR;162;Cognac;116
ARR;163;Confolens;150
ARR;171;Jonzac;129
ARR;172;Rochefort;82
ARR;173;La Rochelle;58
ARR;174;Saintes;89
ARR;175;Saint-Jean-d'Angély;111
ARR;181;Bourges;131
ARR;182;Saint-Amand-Montrond;116
ARR;183;Vierzon;43
ARR;191;Brive-la-Gaillarde;97
ARR;192;Tulle;106
ARR;193;Ussel;80
ARR;211;Beaune;223
ARR;212;Dijon;228
ARR;213;Montbard;253
ARR;221;Dinan;68
ARR;222;Guingamp;112
ARR;223;Lannion;60
ARR;224;Saint-Brieuc;116
ARR;231;Aubusson;118
ARR;232;Guéret;140
ARR;241;Bergerac;133
ARR;242;Nontron;100
ARR;243;Périgueux;146
ARR;244;Sarlat-la-Canéda;141
ARR;251;Besançon;260
ARR;252;Montbéliard;169
ARR;253;Pontarlier;149
ARR;261;Die;113
ARR;262;Nyons;149
ARR;263;Valence;105
ARR;271;Les Andelys;188
ARR;272;Bernay;309
ARR;273;Évreux;105
ARR;281;Chartres;151
ARR;282;Châteaudun;64
ARR;283;Dreux;108
ARR;284;Nogent-le-Rotrou;52
ARR;291;Brest;77
ARR;292;Châteaulin;58
ARR;293;Morlaix;60
ARR;294;Quimper;84
ARR;2A1;Ajaccio;80
ARR;2A4;Sartène;44
ARR;2B2;Bastia;27
ARR;2B3;Corte;158
ARR;2B5;Calvi;51
ARR;301;Alès;97
ARR;302;Nîmes;180
ARR;303;Le Vigan;76
