CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI;POP2010;POP1999;CAT_ZDIFF;MODE_COLLECTE;GR_ROTATION
01098;Chazey-Bons;82;01;011;0104;8216;01000;294;0;05;02;212;240100354;CC;744;665;1;1;5
01099;Chazey-sur-Ain;82;01;011;0117;8201;01000;002;0;06;09;112;240100883;CC;1464;1200;1;1;2
01100;Cheignieu-la-Balme;82;01;011;0136;8216;01000;998;0;03;00;300;240100743;CC;157;112;1;1;1
01101;Chevillard;82;01;014;0106;8203;01000;998;0;03;00;300;240100867;CC;162;132;1;1;2
01102;Chevroux;82;01;012;0126;0053;01000;088;0;05;06;112;240100685;CC;933;657;1;1;5
01103;Chevry;82;01;013;0114;8219;01108;037;1;12;08;112;240100750;CC;1235;808;1;1;1
01104;Chézery-Forens;82;01;013;0112;8219;01000;998;0;04;00;300;240100750;CC;434;367;1;1;3
01105;Civrieux;82;01;012;0142;8214;01000;002;0;06;09;112;240100602;CC;1362;1079;1;1;1
01106;Cize;82;01;012;0107;8202;01000;071;0;03;07;112;240100693;CC;170;128;1;1;1
01107;Cleyzieu;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC;135;116;1;1;3
01108;Coligny;82;01;012;0111;8202;01000;071;0;06;07;112;240100651;CC;1154;1091;1;1;4
01109;Collonges;82;01;013;0112;8219;01000;037;0;06;08;112;240100750;CC;1897;1105;1;1;1
01110;Colomieu;82;01;011;0104;8216;01000;294;0;03;02;212;240100347;CC;115;128;1;1;1
01111;Conand;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC;104;69;1;1;1
01112;Condamine;82;01;014;0106;8203;01102;998;1;11;00;300;240100867;CC;404;285;1;1;2
01113;Condeissiat;82;01;012;0110;8202;01000;997;0;05;00;120;240100644;CC;756;649;1;1;1
01114;Confort;82;01;013;0112;8219;01000;998;0;05;00;300;240100891;CC;525;499;1;1;4
01115;Confrançon;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC;1157;862;1;1;3
01116;Contrevoz;82;01;011;0136;8216;01000;294;0;04;02;212;240100354;CC;539;430;1;1;1
01117;Conzieu;82;01;011;0104;8216;01000;294;0;03;02;212;240100354;CC;135;99;1;1;1
01118;Corbonod;82;01;011;0131;8219;00164;998;1;14;00;300;247400823;CC;1176;898;1;1;4
01119;Corcelles;82;01;014;0106;8203;01000;998;0;04;00;300;240100578;CC;243;222;1;1;1
01121;Corlier;82;01;011;0115;8203;01000;998;0;03;00;300;240100578;CC;124;73;1;1;5
01122;Cormaranche-en-Bugey;82;01;011;0115;8203;01000;540;0;05;01;222;240100578;CC;859;726;1;1;5
01123;Cormoranche-sur-Saône;82;01;012;0127;0053;01000;088;0;06;06;112;240100826;CC;1058;903;1;1;3
01124;Cormoz;82;01;012;0129;8202;01000;071;0;05;07;112;240100339;CC;625;512;1;1;2
01125;Corveissiat;82;01;012;0133;8203;01000;997;0;05;00;120;240100636;CC;602;473;1;1;1
01127;Courmangoux;82;01;012;0133;8202;01000;071;0;04;07;112;240100636;CC;507;360;1;1;5
01128;Courtes;82;01;012;0129;8202;01000;997;0;04;00;120;240100339;CC;266;218;1;1;2
01129;Crans;82;01;012;0108;8201;01000;002;0;04;09;112;240100677;CC;269;258;1;1;2
01130;Cras-sur-Reyssouze;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC;1256;905;1;1;3
01133;Cressin-Rochefort;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC;374;308;1;1;2
01134;Crottet;82;01;012;0127;0053;01121;088;1;14;06;112;240100826;CC;1722;1479;1;1;3
01135;Crozet;82;01;013;0114;8219;01108;037;1;12;08;112;240100750;CC;1862;1344;1;1;5
01136;Cruzilles-lès-Mépillat;82;01;012;0127;0053;01000;088;0;05;06;112;240100826;CC;818;651;1;1;1
01138;Culoz;82;01;011;0131;8216;01109;744;1;12;01;221;240100438;CC;2909;2620;2;1;2
01139;Curciat-Dongalon;82;01;012;0129;8202;01000;997;0;04;00;120;240100339;CC;456;406;1;1;4
01140;Curtafond;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC;702;589;1;1;4
01141;Cuzieu;82;01;011;0136;8216;01000;294;0;04;02;212;240100743;CC;407;304;1;1;3
01142;Dagneux;82;01;012;0120;8214;00758;002;7;73;09;111;240100610;CC;4099;3760;2;1;3
01143;Divonne-les-Bains;82;01;013;0114;8219;01203;037;2;22;08;112;240100750;CC;8160;6158;2;1;4
01144;Dommartin;82;01;012;0102;0053;01000;088;0;05;06;112;240100818;CC;841;597;1;1;4
01145;Dompierre-sur-Veyle;82;01;012;0125;8214;01000;002;0;06;09;112;240100628;CA;1226;968;1;1;5
01146;Dompierre-sur-Chalaronne;82;01;012;0110;8213;01000;997;0;04;00;120;240100644;CC;389;280;1;1;2
01147;Domsure;82;01;012;0111;8202;01000;071;0;04;07;112;240100651;CC;473;403;1;1;4
01148;Dortan;82;01;014;0123;8203;01000;165;0;07;05;112;240100172;CC;1996;2188;1;1;4
01149;Douvres;82;01;011;0101;8201;01000;002;0;05;09;112;240100883;CC;962;646;1;1;2
01150;Drom;82;01;012;0107;8202;01000;071;0;03;07;112;240100636;CC;209;160;1;1;1
01151;Druillat;82;01;012;0125;8201;01000;002;0;06;09;112;240100842;CC;1134;879;1;1;2
01152;Échallon;82;01;014;0123;8203;01000;165;0;05;05;112;240100172;CC;772;665;1;1;3
01153;Échenevex;82;01;013;0114;8219;01000;037;0;06;08;112;240100750;CC;1631;1203;1;1;5
01154;Étrez;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC;803;642;1;1;5
01155;Évosges;82;01;011;0128;8201;01000;997;0;03;00;120;240100396;CC;140;109;1;1;2
01156;Faramans;82;01;012;0119;8201;01000;002;0;05;09;112;240100883;CC;681;591;1;1;5
01157;Fareins;82;01;012;0130;8213;00758;002;7;73;09;111;240100735;CC;2137;1668;2;1;3
01158;Farges;82;01;013;0112;8219;01000;037;0;05;08;112;240100750;CC;854;589;1;1;2
01159;Feillens;82;01;012;0102;0053;01112;088;1;13;06;112;240100818;CC;3115;2935;2;1;1
01160;Ferney-Voltaire;82;01;013;0113;8219;00652;037;6;61;08;111;240100750;CC;8025;7071;2;1;5
01162;Flaxieu;82;01;011;0136;8216;01000;998;0;02;00;300;240100354;CC;63;50;1;1;1
01163;Foissiat;82;01;012;0121;8202;01000;071;0;06;07;112;240100156;CC;1912;1562;1;1;2
01165;Francheleins;82;01;012;0130;8213;00451;002;4;41;09;112;240100727;CC;1323;994;1;1;2
01166;Frans;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC;1984;1849;1;1;3
01167;Garnerans;82;01;012;0132;0053;01000;997;0;05;00;120;240100594;CC;656;565;1;1;5
01169;Genouilleux;82;01;012;0132;8213;01000;002;0;05;09;112;240100727;CC;609;400;1;1;5
01170;Béard-Géovreissiat;82;01;014;0122;8203;01202;545;2;21;01;221;240100909;CC;925;712;1;1;5
01171;Géovreisset;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC;903;763;1;1;5
01172;Germagnat;82;01;012;0133;8202;01000;071;0;03;07;112;240100636;CC;145;92;1;1;3
01173;Gex;82;01;013;0114;8219;01301;037;3;31;08;112;240100750;CC;10372;7771;3;1;1
01174;Giron;82;01;014;0103;8219;01000;998;0;03;00;300;240100891;CC;162;100;1;1;2
01175;Gorrevod;82;01;012;0126;0053;01117;997;1;13;00;120;240100685;CC;799;561;1;1;1
01176;Le Grand-Abergement;82;01;014;0106;8203;01000;000;0;03;00;400;240100370;CC;109;108;1;1;1
01177;Grand-Corent;82;01;012;0107;8202;01000;071;0;03;07;112;240100636;CC;161;111;1;1;1
01179;Grièges;82;01;012;0127;0053;01000;088;0;06;06;112;240100826;CC;1899;1599;1;1;2
01180;Grilly;82;01;013;0114;8219;01000;037;0;05;08;112;240100750;CC;762;615;1;1;2
01181;Groissiat;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC;1143;749;1;1;1
01182;Groslée;82;01;011;0118;8209;01000;002;0;04;09;112;240100347;CC;353;333;1;1;1
01183;Guéreins;82;01;012;0132;8213;00451;002;4;41;09;112;240100727;CC;1308;1065;1;1;3
01184;Hautecourt-Romanèche;82;01;012;0107;8202;01000;071;0;05;07;112;240100693;CC;773;678;1;1;2
01185;Hauteville-Lompnes;82;01;011;0115;8203;01120;540;1;14;01;221;240100578;CC;4044;3653;2;1;3
01186;Hostiaz;82;01;011;0128;8201;01000;997;0;02;00;120;240100396;CC;82;62;1;1;5
01187;Hotonnes;82;01;014;0106;8203;01000;000;0;04;00;400;240100370;CC;306;295;1;1;1
01188;Illiat;82;01;012;0132;8213;01000;997;0;05;00;120;240100594;CC;570;464;1;1;2
01189;Injoux-Génissiat;82;01;014;0103;8219;01000;998;0;05;00;300;240100891;CC;1055;966;1;1;1
01190;Innimond;82;01;011;0118;8209;01000;998;0;03;00;300;240100412;CC;114;95;1;1;4
01191;Izenave;82;01;014;0106;8203;01000;998;0;03;00;300;240100867;CC;164;146;1;1;4
01192;Izernore;82;01;014;0116;8203;01000;998;0;07;00;300;240100701;CC;2278;1652;2;1;3
01193;Izieu;82;01;011;0104;8209;01000;998;0;03;00;300;240100347;CC;201;178;1;1;1
01194;Jassans-Riottier;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC;5976;5333;2;1;2
01195;Jasseron;82;01;012;0107;8202;01000;071;0;06;07;112;240100628;CA;1552;1257;1;1;3
01196;Jayat;82;01;012;0121;8202;01115;071;1;13;07;112;240100156;CC;1049;774;1;1;3
01197;Journans;82;01;012;0125;8202;01000;071;0;04;07;112;240100842;CC;324;330;1;1;4
01198;Joyeux;82;01;012;0119;8201;01000;002;0;04;09;112;240100883;CC;223;206;1;1;5
01199;Jujurieux;82;01;014;0124;8201;01116;002;1;13;09;112;200029999;CC;2097;1696;2;1;5
01200;Labalme;82;01;014;0124;8203;01000;997;0;03;00;120;200029999;CC;204;135;1;1;2
01202;Lagnieu;82;01;011;0117;8201;01204;002;2;22;09;112;240100883;CC;6756;5882;2;1;3
01203;Laiz;82;01;012;0127;0053;01121;088;1;14;06;112;240100826;CC;1130;990;1;1;3
01204;Lalleyriat;82;01;014;0122;8203;01000;998;0;04;00;300;240100909;CC;239;195;1;1;3
01205;Lancrans;82;01;013;0112;8219;01000;998;0;06;00;300;240100891;CC;1052;934;1;1;5
01206;Lantenay;82;01;014;0106;8203;01000;998;0;04;00;300;240100867;CC;257;257;1;1;4
01207;Lapeyrouse;82;01;012;0135;8213;01000;002;0;04;09;112;240100875;CC;292;225;1;1;4
