CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
01040;Béréziat;01;84;200071751;CA;012;0102;8202;01000;0;04;071;07;112;01266
01041;Bettant;01;84;240100883;CC;011;0101;8201;01302;3;32;002;09;112;01004
01042;Bey;01;84;200070555;CC;012;0123;0053;01000;0;04;088;07;112;01348
01043;Beynost;01;84;240100800;CC;012;0113;8214;00758;7;73;002;09;111;69123
01044;Billiat;01;84;240100891;CC;014;0103;8219;01000;0;05;998;00;300;01033
01045;Birieux;01;84;200069193;CC;012;0122;8214;01000;0;04;002;09;112;01443
01046;Biziat;01;84;200070555;CC;012;0123;0053;01000;0;05;997;00;120;01457
01047;Blyes;01;84;240100883;CC;011;0111;8201;01000;0;05;002;09;112;01202
01049;La Boisse;01;84;240100610;CC;012;0113;8214;00758;7;73;002;09;111;69123
01050;Boissey;01;84;200071371;CC;012;0117;0053;01000;0;04;088;07;112;01305
01051;Bolozon;01;84;200042935;CC;014;0116;8203;01000;0;02;997;00;120;01269
01052;Bouligneux;01;84;200069193;CC;012;0122;8214;01000;0;04;002;09;112;01443
01053;Bourg-en-Bresse;01;84;200071751;CA;012;0199;8202;01501;5;51;071;07;111;01053
01054;Bourg-Saint-Christophe;01;84;240100883;CC;011;0112;8201;01206;3;31;002;09;112;01244
01056;Boyeux-Saint-Jérôme;01;84;200029999;CC;014;0116;8201;01000;0;04;002;09;112;01004
01057;Boz;01;84;200071371;CC;012;0117;0053;01000;0;05;088;07;112;01305
01058;Brégnier-Cordon;01;84;200040350;CC;011;0104;8209;01000;0;05;997;00;120;38012
01059;Brénaz;01;84;200040350;CC;011;0110;8216;01000;0;02;000;00;400;01034
01060;Brénod;01;84;200042935;CC;014;0110;8203;01000;0;05;998;00;300;01185
01061;Brens;01;84;200040350;CC;011;0104;8216;01205;3;31;294;02;211;01034
01062;Bressolles;01;84;240100610;CC;012;0112;8214;01000;0;05;002;09;112;69123
01063;Brion;01;84;200042935;CC;014;0114;8203;01202;2;21;545;01;221;01269
01064;Briord;01;84;240100883;CC;011;0111;8201;01000;0;05;002;09;112;38247
01065;Buellas;01;84;200071751;CA;012;0102;8202;01104;1;12;071;07;112;01053
01066;La Burbanche;01;84;200040350;CC;011;0104;8201;01000;0;02;997;00;120;01034
01067;Ceignes;01;84;200042935;CC;014;0116;8203;01000;0;04;998;00;300;01269
01068;Cerdon;01;84;200029999;CC;014;0116;8201;01000;0;05;997;00;120;01004
01069;Certines;01;84;200071751;CA;012;0107;8202;01111;1;13;071;07;112;01053
01071;Cessy;01;84;240100750;CC;013;0109;8219;01301;3;32;037;08;112;01173
01072;Ceyzériat;01;84;200071751;CA;012;0107;8202;01114;1;13;071;07;112;01053
01073;Ceyzérieu;01;84;200040350;CC;011;0104;8216;01000;0;06;998;00;300;01034
01074;Chalamont;01;84;200069193;CC;012;0107;8214;01000;0;07;002;09;112;01244
01075;Chaleins;01;84;200070118;CC;012;0122;8213;01000;0;06;002;09;112;69123
01076;Chaley;01;84;240100883;CC;011;0110;8201;01000;0;03;997;00;120;01185
01077;Challes-la-Montagne;01;84;200029999;CC;014;0116;8201;01000;0;03;998;00;300;01004
01078;Challex;01;84;240100750;CC;013;0120;8219;01000;0;06;037;08;112;74012
01079;Champagne-en-Valromey;01;84;200040350;CC;011;0110;8216;01000;0;05;000;00;400;01034
01080;Champdor-Corcelles;01;84;240100578;CC;011;0110;8203;01000;0;05;540;01;222;01185
01081;Champfromier;01;84;240100891;CC;014;0103;8219;01000;0;05;000;00;400;01033
01082;Chanay;01;84;240100891;CC;014;0103;8219;01000;0;05;998;00;300;74269
01083;Chaneins;01;84;200069193;CC;012;0122;8213;01000;0;05;002;09;112;69019
01084;Chanoz-Châtenay;01;84;200070555;CC;012;0123;8202;01000;0;05;997;00;120;01093
01085;La Chapelle-du-Châtelard;01;84;200069193;CC;012;0108;8213;01000;0;04;002;09;112;01443
01087;Charix;01;84;200042935;CC;014;0114;8203;01000;0;04;998;00;300;01269
01088;Charnoz-sur-Ain;01;84;240100883;CC;011;0111;8201;01000;0;05;002;09;112;01244
01089;Château-Gaillard;01;84;240100883;CC;011;0101;8201;01000;0;06;002;09;112;01004
01090;Châtenay;01;84;200069193;CC;012;0107;8214;01000;0;04;002;09;112;01244
01091;Châtillon-en-Michaille;01;84;240100891;CC;014;0103;8219;01000;0;07;998;00;300;01033
01092;Châtillon-la-Palud;01;84;200069193;CC;012;0107;8201;01000;0;06;002;09;112;01004
01093;Châtillon-sur-Chalaronne;01;84;200069193;CC;012;0108;8213;01124;1;14;997;00;120;01093
