CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
01033;Bellegarde-sur-Valserine;82;01;014;0103;8205;8219;01302;000;9Z;00;3;31;01033;240100891;CC;4
01034;Belley;82;01;011;0104;8209;8216;01203;307;1C;02;2;22;01034;240100354;CC;1
01035;Belleydoux;82;01;014;0123;8204;8203;01000;157;1C;05;0;04;01283;ZZZZZZZZZ;;2
01036;Belmont-Luthézieu;82;01;011;0109;8209;8216;01000;000;9Z;00;0;04;01034;240100370;CC;6
01037;Bénonces;82;01;011;0118;8210;8201;01000;000;9Z;00;0;04;38247;240100412;CC;6
01038;Bény;82;01;012;0111;8203;8202;01000;076;1C;07;0;05;01053;240100651;CC;2
01039;Béon;82;01;011;0109;8209;8216;01106;000;9Z;00;1;12;01138;240100438;CC;4
01040;Béréziat;82;01;012;0121;8203;8202;01000;076;1C;07;0;04;01266;240100156;CC;2
01041;Bettant;82;01;011;0101;8210;8201;01000;999;1C;00;0;05;01004;240100883;CC;3
01042;Bey;82;01;012;0127;8203;0053;01000;089;1C;06;0;04;01306;240100826;CC;2
01043;Beynost;82;01;012;0140;8211;8214;00757;002;1C;09;7;73;69123;240100800;CC;1
01044;Billiat;82;01;014;0103;8205;8219;01000;000;9Z;00;0;04;01033;240100891;CC;6
01045;Birieux;82;01;012;0135;8203;8214;01000;002;1C;09;0;03;01443;240100875;CC;2
01046;Biziat;82;01;012;0110;8203;0053;01000;999;1C;00;0;05;01053;240100669;CC;3
01047;Blyes;82;01;011;0117;8210;8201;01000;002;1C;09;0;05;01202;240100883;CC;2
01049;La Boisse;82;01;012;0120;8211;8214;00757;002;1C;09;7;73;69123;240100610;CC;1
01050;Boissey;82;01;012;0126;8203;0053;01000;999;1C;00;0;04;01305;240100685;CC;3
01051;Bolozon;82;01;014;0116;8204;8203;01000;999;1C;00;0;02;01053;240100701;CC;3
01052;Bouligneux;82;01;012;0135;8203;8214;01000;002;1C;09;0;04;01443;240100875;CC;2
