"cod2012";"cod2013";"annee";"typemodif";"ratio"
"05020";"05132";"2013-01-01";"f";1
"05067";"05132";"2013-01-01";"f";1
"05132";"05132";"2013-01-01";"f";1
"05002";"05139";"2013-01-01";"f";1
"05042";"05139";"2013-01-01";"f";1
"05138";"05139";"2013-01-01";"f";1
"05139";"05139";"2013-01-01";"f";1
"49018";"49018";"2013-01-01";"f";1
"49213";"49018";"2013-01-01";"f";1
"49245";"49018";"2013-01-01";"f";1
"49303";"49018";"2013-01-01";"f";1
"49372";"49018";"2013-01-01";"f";1
"49092";"49092";"2013-01-01";"f";1
"49199";"49092";"2013-01-01";"f";1
"49101";"49101";"2013-01-01";"f";1
"49380";"49101";"2013-01-01";"f";1
"69144";"69208";"2013-01-01";"f";1
"69208";"69208";"2013-01-01";"f";1
"69025";"69248";"2013-01-01";"f";1
"69041";"69248";"2013-01-01";"f";1
"69128";"69248";"2013-01-01";"f";1
"69129";"69248";"2013-01-01";"f";1
"69248";"69248";"2013-01-01";"f";1
"79030";"79030";"2013-01-01";"f";1
"79353";"79030";"2013-01-01";"f";1
"79242";"79242";"2013-01-01";"f";1
"79356";"79242";"2013-01-01";"f";1
"88176";"88176";"2013-01-01";"f";1
"88282";"88176";"2013-01-01";"f";1
