"cod1990";"cod1982";"annee";"typemodif";"ratio"
"08169";"08169";"1982-03-03";"d";0.74
"08169";"08221";"1982-03-03";"d";0.26
"33342";"33286";"1989-01-01";"d";0.225589225589226
"33342";"33342";"1989-01-01";"d";0.774410774410774
"38139";"38139";"1989-09-30";"d";0.701298701298701
"38139";"38227";"1989-09-30";"d";0.298701298701299
"53062";"53024";"1990-01-01";"d";0.254003724394786
"53062";"53062";"1990-01-01";"d";0.745996275605214
"62178";"62178";"1987-02-09";"d";0.859398052522868
"62178";"62482";"1987-02-09";"d";0.140601947477132
"65003";"65003";"1988-01-01";"d";0.642857142857143
"65003";"65365";"1988-01-01";"d";0.357142857142857
"66010";"66010";"1983-01-01";"d";0.714285714285714
"66010";"66200";"1983-01-01";"d";0.285714285714286
"67474";"67211";"1982-07-01";"d";0.0993377483443709
"67474";"67474";"1982-07-01";"d";0.900662251655629
"72241";"72206";"1985-11-01";"d";0.385416666666667
"72241";"72241";"1985-11-01";"d";0.614583333333333
"80086";"80086";"1985-01-01";"d";0.890829694323144
"80086";"80772";"1985-01-01";"d";0.109170305676856
"05023";"05023";"1989-01-01";"f";1
"05109";"05023";"1989-01-01";"f";1
"05112";"05123";"1983-02-14";"f";1
"05123";"05123";"1983-02-14";"f";1
"07132";"07132";"1989-01-01";"f";1
"07318";"07132";"1989-01-01";"f";1
"08119";"08119";"1986-01-01";"f";1
"08377";"08119";"1986-01-01";"f";1
"08125";"08125";"1989-01-01";"f";1
"08297";"08125";"1989-01-01";"f";1
"08233";"08470";"1985-01-01";"f";1
"08470";"08470";"1985-01-01";"f";1
"10043";"10316";"1990-01-01";"f";1
"10316";"10316";"1990-01-01";"f";1
"11195";"11195";"1989-01-01";"f";1
"11234";"11195";"1989-01-01";"f";1
"14336";"14336";"1983-01-01";"f";1
"14376";"14336";"1983-01-01";"f";1
"15003";"15003";"1985-10-01";"f";1
"15024";"15003";"1985-10-01";"f";1
"15140";"15140";"1983-01-01";"f";1
"15160";"15140";"1983-01-01";"f";1
"21074";"21331";"1983-01-01";"f";1
