"CODGEO";"LIBGEO";"POP"
"01001";"ABERGEMENT-CLEMENCIAT";420
"01002";"ABERGEMENT-DE-VAREY";84
"01003";"AMAREINS";140
"01004";"AMBERIEU-EN-BUGEY";8748
"01005";"AMBERIEUX-EN-DOMBES";604
"01006";"AMBLEON";80
"01007";"AMBRONAY";1228
"01008";"AMBUTRIX";268
"01009";"ANDERT-ET-CONDON";152
"01010";"ANGLEFORT";476
"01011";"APREMONT";184
"01012";"ARANC";300
"01013";"ARANDAS";164
"01014";"ARBENT";1224
"01015";"ARBIGNIEU";284
"01016";"ARBIGNY";404
"01017";"ARGIS";572
"01018";"ARLOD";1604
"01019";"ARMIX";24
"01021";"ARS-SUR-FORMANS";504
"01022";"ARTEMARE";808
"01023";"ASNIERES-SUR-SAONE";104
"01024";"ATTIGNAT";1260
"01025";"BAGE-LA-VILLE";1532
"01026";"BAGE-LE-CHATEL";600
"01027";"BALAN";968
"01028";"BANEINS";280
"01029";"BEAUPONT";620
"01030";"BEAUREGARD";564
"01031";"BELLIGNAT";904
"01032";"BELIGNEUX";1040
"01033";"BELLEGARDE-SUR-VALSERINE";9400
"01034";"BELLEY";7140
"01035";"BELLEYDOUX";232
"01036";"BELMONT-LUTHEZIEU";244
"01037";"BENONCES";160
"01038";"BENY";548
"01039";"BEON";328
"01040";"BEREZIAT";288
"01041";"BETTANT";580
"01042";"BEY";124
"01043";"BEYNOST";1792
"01044";"BILLIAT";228
"01045";"BIRIEUX";132
"01046";"BIZIAT";516
"01047";"BLYES";172
"01048";"BOHAS";256
"01049";"BOISSE";1492
"01050";"BOISSEY";220
"01051";"BOLOZON";84
"01052";"BOULIGNEUX";192
"01053";"BOURG-EN-BRESSE";37744
"01054";"BOURG-SAINT-CHRISTOPHE";452
"01055";"BOUVENT";92
"01056";"BOYEUX-SAINT-JEROME";196
"01057";"BOZ";380
"01058";"BREGNIER-CORDON";528
"01059";"BRENAZ";40
"01060";"BRENOD";488
"01061";"BRENS";380
"01062";"BRESSOLLES";296
"01063";"BRION";180
"01064";"BRIORD";372
"01065";"BUELLAS";652
"01066";"BURBANCHE";76
"01067";"CEIGNES";172
"01068";"CERDON";784
"01069";"CERTINES";404
"01070";"CESSEINS";100
"01071";"CESSY";548
"01072";"CEYZERIAT";1544
"01073";"CEYZERIEU";560
"01074";"CHALAMONT";1108
"01075";"CHALEINS";488
"01076";"CHALEY";236
"01077";"CHALLES-LA-MONTAGNE";160
"01078";"CHALLEX";528
"01079";"CHAMPAGNE-EN-VALROMEY";488
"01080";"CHAMPDOR";428
"01081";"CHAMPFROMIER";384
"01082";"CHANAY";380
"01083";"CHANEINS";420
"01084";"CHANOZ-CHATENAY";548
"01085";"CHAPELLE-DU-CHATELARD";224
"01086";"CHARANCIN";84
"01087";"CHARIX";172
"01088";"CHARNOZ-SUR-AIN";144
"01089";"CHATEAU-GAILLARD";488
"01090";"CHATENAY";288
"01091";"CHATILLON-EN-MICHAILLE";840
"01092";"CHATILLON-LA-PALUD";716
"01093";"CHATILLON-SUR-CHALARONNE";2652
"01094";"CHAVANNES-SUR-REYSSOUZE";496
"01095";"CHAVANNES-SUR-SURAN";396
"01096";"CHAVEYRIAT";560
"01097";"CHAVORNAY";164
"01098";"CHAZEY-BONS";652
"01099";"CHAZEY-SUR-AIN";432
"01100";"CHEIGNIEU-LA-BALME";96
"01101";"CHEVILLARD";136
"01102";"CHEVROUX";616
"01103";"CHEVRY";344
"01104";"CHEZERY-FORENS";472
"01105";"CIVRIEUX";464
"01106";"CIZE";160
"01107";"CLEYZIEU";116
"01108";"COLIGNY";1092
"01109";"COLLONGES";896
"01110";"COLOMIEU";108
"01111";"CONAND";104
"01112";"CONDAMINE";204
"01113";"CONDEISSIAT";416
"01114";"CONFORT";296
"01115";"CONFRANCON";716
"01116";"CONTREVOZ";300
"01117";"CONZIEU";32
