"CODGEO";"LIBGEO";"POP"
"01210";"LELEX";195
"01211";"LENT";820
"01212";"LESCHEROUX";485
"01213";"LEYMENT";540
"01214";"LEYSSARD";65
"01215";"LHOPITAL";45
"01216";"LHUIS";670
"01218";"LOCHIEU";80
"01219";"LOMPNAS";125
"01221";"LOMPNIEU";185
"01224";"LOYETTES";1485
"01225";"LURCY";155
"01227";"MAGNIEU";255
"01228";"MAILLAT";545
"01229";"MALAFRETAZ";525
"01230";"MANTENAY-MONTLIN";245
"01231";"MANZIAT";1200
"01232";"MARBOZ";1675
"01233";"MARCHAMP";60
"01234";"MARIGNIEU";150
"01235";"MARLIEUX";650
"01236";"MARSONNAS";730
"01237";"MARTIGNAT";740
"01238";"MASSIEUX";920
"01239";"MASSIGNIEU-DE-RIVES";355
"01240";"MATAFELON-GRANGES";245
"01241";"MEILLONNAS";645
"01242";"MERIGNAT";110
"01243";"MESSIMY-SUR-SAONE";500
"01244";"MEXIMIEUX";3510
"01245";"BOHAS-MEYRIAT-RIGNAT";465
"01246";"MEZERIAT";1740
"01247";"MIJOUX";160
"01248";"MIONNAY";450
"01249";"MIRIBEL";6000
"01250";"MISERIEUX";635
"01252";"MOGNENEINS";395
"01254";"MONTAGNAT";590
"01255";"MONTAGNIEU";390
"01257";"MONTANGES";180
"01258";"MONTCEAUX";465
"01259";"MONTCET";200
"01260";"MONTELLIER";125
"01261";"MONTHIEUX";280
"01262";"MONTLUEL";4515
"01263";"MONTMERLE-SUR-SAONE";1580
"01264";"MONTRACOL";415
"01265";"MONTREAL-LA-CLUSE";2735
"01266";"MONTREVEL-EN-BRESSE";1630
"01267";"NURIEUX-VOLOGNAT";490
"01268";"MURS-ET-GELIGNIEUX";195
"01269";"NANTUA";3530
"01271";"NATTAGES";265
"01272";"NEUVILLE-LES-DAMES";970
"01273";"NEUVILLE-SUR-AIN";1030
"01274";"NEYROLLES";540
"01275";"NEYRON";1175
"01276";"NIEVROZ";620
"01277";"NIVOLLET-MONTGRIFFON";65
"01279";"ONCIEU";80
"01280";"ORDONNAZ";200
"01281";"ORNEX";1035
"01282";"OUTRIAZ";160
"01283";"OYONNAX";23180
"01284";"OZAN";280
"01285";"PARCIEUX";510
"01286";"PARVES";115
"01288";"PERON";855
"01289";"PERONNAS";3040
"01290";"PEROUGES";545
"01291";"PERREX";565
"01292";"PETIT-ABERGEMENT";260
"01293";"PEYRIAT";105
"01294";"PEYRIEU";560
"01295";"PEYZIEUX-SUR-SAONE";190
"01296";"PIRAJOUX";290
"01297";"PIZAY";310
"01298";"PLAGNE";60
"01299";"PLANTAY";270
"01300";"POIZAT";185
"01301";"POLLIAT";1375
"01302";"POLLIEU";100
"01303";"PONCIN";1050
"01304";"PONT-D'AIN";2125
"01305";"PONT-DE-VAUX";1975
"01306";"PONT-DE-VEYLE";1175
"01307";"PORT";355
"01308";"POUGNY";605
