"cod1990";"cod1999";"annee";"typemodif";"ratio"
"55227";"54602";"1997-01-01";"c";1
"08352";"08047";"1991-01-01";"d";0.352941176470588
"08352";"08352";"1991-01-01";"d";0.647058823529412
"16029";"16029";"1993-10-01";"d";0.614583333333333
"16029";"16063";"1993-10-01";"d";0.385416666666667
"32045";"32045";"1994-01-01";"d";0.760330578512397
"32045";"32323";"1994-01-01";"d";0.239669421487603
"52113";"52113";"1990-07-01";"d";0.488549618320611
"52113";"52145";"1990-07-01";"d";0.213740458015267
"52113";"52170";"1990-07-01";"d";0.183206106870229
"52113";"52228";"1990-07-01";"d";0.114503816793893
"52374";"52240";"1992-01-01";"d";0.28804347826087
"52374";"52354";"1992-01-01";"d";0.16304347826087
"52374";"52374";"1992-01-01";"d";0.364130434782609
"52374";"52375";"1992-01-01";"d";0.0543478260869565
"52444";"52444";"1997-01-01";"d";0.789473684210526
"52444";"52468";"1997-01-01";"d";0.210526315789474
"52374";"52539";"1992-01-01";"d";0.130434782608696
"57011";"57011";"1998-01-01";"d";0.632411067193676
"57011";"57248";"1998-01-01";"d";0.0790513833992095
"57011";"57573";"1998-01-01";"d";0.118577075098814
"57011";"57675";"1998-01-01";"d";0.1699604743083
"59349";"59287";"1997-03-01";"d";0.0995762711864407
"59349";"59349";"1997-03-01";"d";0.900423728813559
"64417";"64145";"1997-01-01";"d";0.0928652321630804
"64493";"64235";"1997-01-01";"d";0.158110882956879
"64417";"64417";"1997-01-01";"d";0.90713476783692
"64493";"64493";"1997-01-01";"d";0.841889117043121
"67513";"67026";"1992-01-01";"d";0.222531293463143
"67513";"67027";"1992-01-01";"d";0.204450625869263
"67513";"67144";"1992-01-01";"d";0.389429763560501
"67340";"67340";"1992-12-31";"d";0.645881805490926
"67513";"67513";"1992-01-01";"d";0.183588317107093
"67340";"67558";"1992-12-31";"d";0.354118194509074
"74281";"74166";"1995-05-25";"d";0.0421511627906977
"74281";"74281";"1995-05-25";"d";0.957848837209302
"79079";"79079";"1992-01-01";"d";0.857748469147433
"79079";"79235";"1992-01-01";"d";0.142251530852567
"89341";"89315";"1998-01-01";"d";0.276923076923077
"89344";"89325";"1999-01-01";"d";0.0553191489361702
"89341";"89341";"1998-01-01";"d";0.723076923076923
"89344";"89344";"1999-01-01";"d";0.94468085106383
"90068";"90068";"1997-01-01";"d";0.717391304347826
"90068";"90073";"1997-01-01";"d";0.282608695652174
"97357";"97357";"1993-01-01";"d";0.632562277580071
"97357";"97362";"1993-01-01";"d";0.367437722419929
"02630";"02738";"1992-01-01";"f";1
"02738";"02738";"1992-01-01";"f";1
"16159";"16297";"1997-01-01";"f";1
"16297";"16297";"1997-01-01";"f";1
"16022";"16339";"1994-01-01";"f";1
"16339";"16339";"1994-01-01";"f";1
"26020";"26020";"1992-05-01";"f";1
"26265";"26020";"1992-05-01";"f";1
"27297";"27297";"1995-06-19";"f";1
"27328";"27297";"1995-06-19";"f";1
"35073";"35206";"1993-01-01";"f";1
"35206";"35206";"1993-01-01";"f";1
"62119";"62119";"1997-11-20";"f";1
"62847";"62119";"1997-11-20";"f";1
"62110";"62473";"1996-01-01";"f";1
"62473";"62473";"1996-01-01";"f";1
"62575";"62473";"1996-01-01";"f";1
"70004";"70004";"1994-01-01";"f";1
"70073";"70004";"1994-01-01";"f";1
"71101";"71101";"1997-01-01";"f";1
"71560";"71101";"1997-01-01";"f";1
"88034";"88106";"1995-07-01";"f";1
"88106";"88106";"1995-07-01";"f";1
