"cod1975";"cod1982";"annee";"typemodif";"ratio"
"20001";"2A001";"1976-01-01";"c";1
"20004";"2A004";"1976-01-01";"c";1
"20006";"2A006";"1976-01-01";"c";1
"20008";"2A008";"1976-01-01";"c";1
"20011";"2A011";"1976-01-01";"c";1
"20014";"2A014";"1976-01-01";"c";1
"20017";"2A017";"1976-01-01";"c";1
"20018";"2A018";"1976-01-01";"c";1
"20019";"2A019";"1976-01-01";"c";1
"20021";"2A021";"1976-01-01";"c";1
"20022";"2A022";"1976-01-01";"c";1
"20024";"2A024";"1976-01-01";"c";1
"20026";"2A026";"1976-01-01";"c";1
"20027";"2A027";"1976-01-01";"c";1
"20028";"2A028";"1976-01-01";"c";1
"20031";"2A031";"1976-01-01";"c";1
"20032";"2A032";"1976-01-01";"c";1
"20035";"2A035";"1976-01-01";"c";1
"20038";"2A038";"1976-01-01";"c";1
"20040";"2A040";"1976-01-01";"c";1
"20041";"2A041";"1976-01-01";"c";1
"20048";"2A048";"1976-01-01";"c";1
"20056";"2A056";"1976-01-01";"c";1
"20060";"2A060";"1976-01-01";"c";1
"20061";"2A061";"1976-01-01";"c";1
"20062";"2A062";"1976-01-01";"c";1
"20064";"2A064";"1976-01-01";"c";1
"20065";"2A065";"1976-01-01";"c";1
"20066";"2A066";"1976-01-01";"c";1
"20070";"2A070";"1976-01-01";"c";1
"20071";"2A071";"1976-01-01";"c";1
"20085";"2A085";"1976-01-01";"c";1
"20089";"2A089";"1976-01-01";"c";1
"20090";"2A090";"1976-01-01";"c";1
"20091";"2A091";"1976-01-01";"c";1
"20092";"2A092";"1976-01-01";"c";1
"20094";"2A094";"1976-01-01";"c";1
"20098";"2A098";"1976-01-01";"c";1
"20099";"2A099";"1976-01-01";"c";1
"20100";"2A100";"1976-01-01";"c";1
"20103";"2A103";"1976-01-01";"c";1
"20104";"2A104";"1976-01-01";"c";1
"20108";"2A108";"1976-01-01";"c";1
"20114";"2A114";"1976-01-01";"c";1
"20115";"2A115";"1976-01-01";"c";1
"20117";"2A117";"1976-01-01";"c";1
"20118";"2A118";"1976-01-01";"c";1
"20119";"2A119";"1976-01-01";"c";1
"20127";"2A127";"1976-01-01";"c";1
"20128";"2A128";"1976-01-01";"c";1
"20129";"2A129";"1976-01-01";"c";1
"20130";"2A130";"1976-01-01";"c";1
"20131";"2A131";"1976-01-01";"c";1
"20132";"2A132";"1976-01-01";"c";1
"20133";"2A133";"1976-01-01";"c";1
"20139";"2A139";"1976-01-01";"c";1
"20141";"2A141";"1976-01-01";"c";1
"20142";"2A142";"1976-01-01";"c";1
"20144";"2A144";"1976-01-01";"c";1
"20146";"2A146";"1976-01-01";"c";1
"20154";"2A154";"1976-01-01";"c";1
"20158";"2A158";"1976-01-01";"c";1
"20160";"2A160";"1976-01-01";"c";1
"20163";"2A163";"1976-01-01";"c";1
"20174";"2A174";"1976-01-01";"c";1
"20181";"2A181";"1976-01-01";"c";1
"20186";"2A186";"1976-01-01";"c";1
"20189";"2A189";"1976-01-01";"c";1
"20191";"2A191";"1976-01-01";"c";1
"20196";"2A196";"1976-01-01";"c";1
"20197";"2A197";"1976-01-01";"c";1
"20198";"2A198";"1976-01-01";"c";1
"20200";"2A200";"1976-01-01";"c";1
"20203";"2A203";"1976-01-01";"c";1
"20204";"2A204";"1976-01-01";"c";1
"20209";"2A209";"1976-01-01";"c";1
"20211";"2A211";"1976-01-01";"c";1
"20212";"2A212";"1976-01-01";"c";1
"20215";"2A215";"1976-01-01";"c";1
"20228";"2A228";"1976-01-01";"c";1
"20232";"2A232";"1976-01-01";"c";1
"20240";"2A240";"1976-01-01";"c";1
"20247";"2A247";"1976-01-01";"c";1
"20249";"2A249";"1976-01-01";"c";1
"20253";"2A253";"1976-01-01";"c";1
"20254";"2A254";"1976-01-01";"c";1
"20258";"2A258";"1976-01-01";"c";1
"20259";"2A259";"1976-01-01";"c";1
"20262";"2A262";"1976-01-01";"c";1
"20266";"2A266";"1976-01-01";"c";1
"20268";"2A268";"1976-01-01";"c";1
"20269";"2A269";"1976-01-01";"c";1
"20270";"2A270";"1976-01-01";"c";1
"20271";"2A271";"1976-01-01";"c";1
"20272";"2A272";"1976-01-01";"c";1
"20276";"2A276";"1976-01-01";"c";1
"20278";"2A278";"1976-01-01";"c";1
"20279";"2A279";"1976-01-01";"c";1
"20282";"2A282";"1976-01-01";"c";1
"20284";"2A284";"1976-01-01";"c";1
"20285";"2A285";"1976-01-01";"c";1
"20288";"2A288";"1976-01-01";"c";1
"20295";"2A295";"1976-01-01";"c";1
"20300";"2A300";"1976-01-01";"c";1
"20308";"2A308";"1976-01-01";"c";1
"20310";"2A310";"1976-01-01";"c";1
"20312";"2A312";"1976-01-01";"c";1
"20322";"2A322";"1976-01-01";"c";1
"20323";"2A323";"1976-01-01";"c";1
"20324";"2A324";"1976-01-01";"c";1
"20326";"2A326";"1976-01-01";"c";1
"20330";"2A330";"1976-01-01";"c";1
"20331";"2A331";"1976-01-01";"c";1
"20336";"2A336";"1976-01-01";"c";1
"20345";"2A345";"1976-01-01";"c";1
"20348";"2A348";"1976-01-01";"c";1
"20349";"2A349";"1976-01-01";"c";1
"20351";"2A351";"1976-01-01";"c";1
"20357";"2A357";"1976-01-01";"c";1
"20358";"2A358";"1976-01-01";"c";1
"20359";"2A359";"1976-01-01";"c";1
"20360";"2A360";"1976-01-01";"c";1
"20362";"2A362";"1976-01-01";"c";1
"20363";"2A363";"1976-01-01";"c";1
"20002";"2B002";"1976-01-01";"c";1
"20003";"2B003";"1976-01-01";"c";1
"20005";"2B005";"1976-01-01";"c";1
"20007";"2B007";"1976-01-01";"c";1
"20009";"2B009";"1976-01-01";"c";1
"20010";"2B010";"1976-01-01";"c";1
"20012";"2B012";"1976-01-01";"c";1
"20013";"2B013";"1976-01-01";"c";1
"20015";"2B015";"1976-01-01";"c";1
"20016";"2B016";"1976-01-01";"c";1
"20020";"2B020";"1976-01-01";"c";1
"20023";"2B023";"1976-01-01";"c";1
"20025";"2B025";"1976-01-01";"c";1
"20029";"2B029";"1976-01-01";"c";1
"20030";"2B030";"1976-01-01";"c";1
"20033";"2B033";"1976-01-01";"c";1
"20034";"2B034";"1976-01-01";"c";1
"20036";"2B036";"1976-01-01";"c";1
"20037";"2B037";"1976-01-01";"c";1
"20039";"2B039";"1976-01-01";"c";1
"20042";"2B042";"1976-01-01";"c";1
"20043";"2B043";"1976-01-01";"c";1
"20045";"2B045";"1976-01-01";"c";1
"20046";"2B046";"1976-01-01";"c";1
"20047";"2B047";"1976-01-01";"c";1
"20049";"2B049";"1976-01-01";"c";1
"20050";"2B050";"1976-01-01";"c";1
"20051";"2B051";"1976-01-01";"c";1
"20052";"2B052";"1976-01-01";"c";1
"20053";"2B053";"1976-01-01";"c";1
"20054";"2B054";"1976-01-01";"c";1
"20055";"2B055";"1976-01-01";"c";1
"20057";"2B057";"1976-01-01";"c";1
"20058";"2B058";"1976-01-01";"c";1
"20059";"2B059";"1976-01-01";"c";1
"20063";"2B063";"1976-01-01";"c";1
"20067";"2B067";"1976-01-01";"c";1
"20068";"2B068";"1976-01-01";"c";1
"20069";"2B069";"1976-01-01";"c";1
"20072";"2B072";"1976-01-01";"c";1
"20073";"2B073";"1976-01-01";"c";1
"20074";"2B074";"1976-01-01";"c";1
"20075";"2B075";"1976-01-01";"c";1
"20077";"2B077";"1976-01-01";"c";1
"20078";"2B078";"1976-01-01";"c";1
"20079";"2B079";"1976-01-01";"c";1
"20080";"2B080";"1976-01-01";"c";1
"20081";"2B081";"1976-01-01";"c";1
"20082";"2B082";"1976-01-01";"c";1
"20083";"2B083";"1976-01-01";"c";1
"20084";"2B084";"1976-01-01";"c";1
"20086";"2B086";"1976-01-01";"c";1
"20087";"2B087";"1976-01-01";"c";1
"20088";"2B088";"1976-01-01";"c";1
"20093";"2B093";"1976-01-01";"c";1
"20095";"2B095";"1976-01-01";"c";1
"20096";"2B096";"1976-01-01";"c";1
"20097";"2B097";"1976-01-01";"c";1
"20101";"2B101";"1976-01-01";"c";1
"20102";"2B102";"1976-01-01";"c";1
"20105";"2B105";"1976-01-01";"c";1
"20106";"2B106";"1976-01-01";"c";1
"20107";"2B107";"1976-01-01";"c";1
"20109";"2B109";"1976-01-01";"c";1
"20110";"2B110";"1976-01-01";"c";1
"20111";"2B111";"1976-01-01";"c";1
"20112";"2B112";"1976-01-01";"c";1
"20113";"2B113";"1976-01-01";"c";1
"20116";"2B116";"1976-01-01";"c";1
"20120";"2B120";"1976-01-01";"c";1
"20121";"2B121";"1976-01-01";"c";1
"20122";"2B122";"1976-01-01";"c";1
"20123";"2B123";"1976-01-01";"c";1
"20124";"2B124";"1976-01-01";"c";1
"20125";"2B125";"1976-01-01";"c";1
"20126";"2B126";"1976-01-01";"c";1
"20134";"2B134";"1976-01-01";"c";1
"20135";"2B135";"1976-01-01";"c";1
"20136";"2B136";"1976-01-01";"c";1
"20137";"2B137";"1976-01-01";"c";1
"20138";"2B138";"1976-01-01";"c";1
"20140";"2B140";"1976-01-01";"c";1
"20143";"2B143";"1976-01-01";"c";1
"20145";"2B145";"1976-01-01";"c";1
"20147";"2B147";"1976-01-01";"c";1
"20148";"2B148";"1976-01-01";"c";1
"20149";"2B149";"1976-01-01";"c";1
"20150";"2B150";"1976-01-01";"c";1
"20152";"2B152";"1976-01-01";"c";1
"20153";"2B153";"1976-01-01";"c";1
"20155";"2B155";"1976-01-01";"c";1
"20156";"2B156";"1976-01-01";"c";1
"20157";"2B157";"1976-01-01";"c";1
"20159";"2B159";"1976-01-01";"c";1
"20161";"2B161";"1976-01-01";"c";1
"20162";"2B162";"1976-01-01";"c";1
"20164";"2B164";"1976-01-01";"c";1
"20165";"2B165";"1976-01-01";"c";1
"20166";"2B166";"1976-01-01";"c";1
"20167";"2B167";"1976-01-01";"c";1
"20168";"2B168";"1976-01-01";"c";1
"20169";"2B169";"1976-01-01";"c";1
"20170";"2B170";"1976-01-01";"c";1
"20171";"2B171";"1976-01-01";"c";1
"20172";"2B172";"1976-01-01";"c";1
"20173";"2B173";"1976-01-01";"c";1
"20175";"2B175";"1976-01-01";"c";1
