"cod2008";"cod1999";"annee";"typemodif";"ratio"
"26091";"26091";"2002-01-01";"d";0.888888888888889
"26091";"26158";"2002-01-01";"d";0.111111111111111
"39367";"39367";"2007-01-01";"d";0.930909090909091
"39367";"39524";"2007-01-01";"d";0.0690909090909091
"49206";"49206";"2000-02-29";"d";0.306451612903226
"49206";"49210";"2000-02-29";"d";0.693548387096774
"50129";"50129";"2000-02-28";"d";0.599383667180277
"50216";"50216";"2007-03-08";"d";0.901734104046243
"50216";"50303";"2007-03-08";"d";0.0982658959537572
"50129";"50383";"2000-02-28";"d";0.400616332819723
"59350";"59350";"2000-02-27";"d";0.868716412567881
"59350";"59355";"2000-02-27";"d";0.131283587432119
"61483";"61022";"2000-01-01";"d";0.410071942446043
"61136";"61136";"2002-01-01";"d";0.702127659574468
"61136";"61254";"2002-01-01";"d";0.297872340425532
"61483";"61483";"2000-01-01";"d";0.589928057553957
"71443";"71211";"2003-01-01";"d";0.32280701754386
"71443";"71443";"2003-01-01";"d";0.67719298245614
"79013";"79013";"2006-09-01";"d";0.623188405797101
"79195";"79017";"2001-03-11";"d";0.577974276527331
"79013";"79037";"2006-09-01";"d";0.236714975845411
"79195";"79195";"2001-03-11";"d";0.422025723472669
"79013";"79305";"2006-09-01";"d";0.140096618357488
"80369";"80369";"2007-01-01";"d";0.902439024390244
"80369";"80370";"2007-01-01";"d";0.0975609756097561
"81132";"81107";"2007-06-29";"d";0.574225122349103
"81132";"81132";"2007-06-29";"d";0.425774877650897
"85036";"85036";"2007-10-04";"d";0.916666666666667
"85036";"85068";"2007-10-04";"d";0.0833333333333333
"10038";"10054";"2000-01-01";"f";1
"10054";"10054";"2000-01-01";"f";1
"10383";"10054";"2000-01-01";"f";1
"14149";"14149";"2006-01-01";"f";1
"14482";"14149";"2006-01-01";"f";1
"22179";"22179";"2004-10-01";"f";1
"22201";"22179";"2004-10-01";"f";1
"35130";"35130";"2008-01-01";"f";1
"35317";"35130";"2008-01-01";"f";1
"47010";"47010";"2001-03-22";"f";1
"47227";"47010";"2001-03-22";"f";1
"47157";"47157";"2003-02-03";"f";1
"47163";"47157";"2003-02-03";"f";1
"50066";"50066";"2000-01-01";"f";1
"50102";"50066";"2000-01-01";"f";1
"51136";"51136";"2006-03-01";"f";1
"51201";"51136";"2006-03-01";"f";1
"52359";"52359";"2005-01-01";"f";1
"52495";"52359";"2005-01-01";"f";1
"55068";"55419";"2004-01-01";"f";1
"55082";"55419";"2004-01-01";"f";1
"55419";"55419";"2004-01-01";"f";1
"62119";"62119";"2008-01-01";"f";1
"62847";"62119";"2008-01-01";"f";1
"64269";"64269";"2001-03-11";"f";1
"64439";"64269";"2001-03-11";"f";1
"64518";"64269";"2001-03-11";"f";1
"67057";"67242";"2007-01-01";"f";1
"67242";"67242";"2007-01-01";"f";1
"71353";"71543";"2001-03-11";"f";1
"71543";"71543";"2001-03-11";"f";1
"74106";"74210";"2001-02-19";"f";1
"74210";"74210";"2001-02-19";"f";1
"89055";"89055";"2003-12-31";"f";1
"89288";"89055";"2003-12-31";"f";1
