"cod2011";"cod2012";"annee";"typemodif";"ratio"
"52031";"52031";"2012-01-01";"d";0.810699588477366
"52332";"52033";"2012-01-01";"d";0.0623853211009174
"52504";"52124";"2012-01-01";"d";0.197860962566845
"52427";"52266";"2012-01-01";"d";0.204472843450479
"52031";"52278";"2012-01-01";"d";0.189300411522634
"52332";"52332";"2012-01-01";"d";0.879816513761468
"52427";"52427";"2012-01-01";"d";0.795527156549521
"52332";"52465";"2012-01-01";"d";0.0577981651376147
"52504";"52504";"2012-01-01";"d";0.802139037433155
"28042";"28361";"2012-01-01";"f";1
"28361";"28361";"2012-01-01";"f";1
"76095";"76108";"2012-01-01";"f";1
"76108";"76108";"2012-01-01";"f";1
