"CODGEO";"LIBGEO";"POP"
"01001";"ABERGEMENT-CLEMENCIAT";580
"01002";"ABERGEMENT-DE-VAREY";152
"01004";"AMBERIEU-EN-BUGEY";10435
"01005";"AMBERIEUX-EN-DOMBES";1152
"01006";"AMBLEON";68
"01007";"AMBRONAY";2012
"01008";"AMBUTRIX";600
"01009";"ANDERT-ET-CONDON";252
"01010";"ANGLEFORT";688
"01011";"APREMONT";340
"01012";"ARANC";281
"01013";"ARANDAS";132
"01014";"ARBENT";3364
"01015";"ARBIGNIEU";388
"01016";"ARBIGNY";320
"01017";"ARGIS";400
"01019";"ARMIX";12
"01021";"ARS-SUR-FORMANS";864
"01022";"ARTEMARE";965
"01023";"ASNIERES-SUR-SAONE";72
"01024";"ATTIGNAT";1780
"01025";"BAGE-LA-VILLE";1952
"01026";"BAGE-LE-CHATEL";768
"01027";"BALAN";1672
"01028";"BANEINS";384
"01029";"BEAUPONT";436
"01030";"BEAUREGARD";864
"01031";"BELLIGNAT";3240
"01032";"BELIGNEUX";2328
"01033";"BELLEGARDE-SUR-VALSERINE";11197
"01034";"BELLEY";7836
"01035";"BELLEYDOUX";228
"01036";"BELMONT-LUTHEZIEU";308
"01037";"BENONCES";252
"01038";"BENY";592
"01039";"BEON";340
"01040";"BEREZIAT";304
"01041";"BETTANT";688
"01042";"BEY";220
"01043";"BEYNOST";3157
"01044";"BILLIAT";384
"01045";"BIRIEUX";132
"01046";"BIZIAT";564
"01047";"BLYES";540
"01049";"BOISSE";2404
"01050";"BOISSEY";216
"01051";"BOLOZON";96
"01052";"BOULIGNEUX";280
"01053";"BOURG-EN-BRESSE";40989
"01054";"BOURG-SAINT-CHRISTOPHE";732
"01056";"BOYEUX-SAINT-JEROME";252
"01057";"BOZ";344
"01058";"BREGNIER-CORDON";508
"01059";"BRENAZ";88
"01060";"BRENOD";384
"01061";"BRENS";636
"01062";"BRESSOLLES";496
"01063";"BRION";612
"01064";"BRIORD";652
"01065";"BUELLAS";1172
"01066";"BURBANCHE";64
"01067";"CEIGNES";164
"01068";"CERDON";676
"01069";"CERTINES";916
"01071";"CESSY";1772
"01072";"CEYZERIAT";2060
"01073";"CEYZERIEU";772
"01074";"CHALAMONT";1472
"01075";"CHALEINS";740
"01076";"CHALEY";108
"01077";"CHALLES-LA-MONTAGNE";188
"01078";"CHALLEX";984
"01079";"CHAMPAGNE-EN-VALROMEY";668
"01080";"CHAMPDOR";472
"01081";"CHAMPFROMIER";448
"01082";"CHANAY";408
"01083";"CHANEINS";488
"01084";"CHANOZ-CHATENAY";496
"01085";"CHAPELLE-DU-CHATELARD";252
"01087";"CHARIX";268
"01088";"CHARNOZ-SUR-AIN";408
"01089";"CHATEAU-GAILLARD";1032
"01090";"CHATENAY";268
"01091";"CHATILLON-EN-MICHAILLE";2148
"01092";"CHATILLON-LA-PALUD";868
"01093";"CHATILLON-SUR-CHALARONNE";3792
"01094";"CHAVANNES-SUR-REYSSOUZE";568
"01095";"CHAVANNES-SUR-SURAN";400
"01096";"CHAVEYRIAT";772
"01097";"CHAVORNAY";164
"01098";"CHAZEY-BONS";676
"01099";"CHAZEY-SUR-AIN";892
"01100";"CHEIGNIEU-LA-BALME";124
"01101";"CHEVILLARD";128
"01102";"CHEVROUX";600
"01103";"CHEVRY";732
"01104";"CHEZERY-FORENS";364
"01105";"CIVRIEUX";948
"01106";"CIZE";108
"01107";"CLEYZIEU";88
"01108";"COLIGNY";1104
"01109";"COLLONGES";1008
"01110";"COLOMIEU";108
"01111";"CONAND";60
"01112";"CONDAMINE";268
"01113";"CONDEISSIAT";596
"01114";"CONFORT";444
"01115";"CONFRANCON";800
"01116";"CONTREVOZ";432
