"cod1999";"cod2008";"annee";"typemodif";"ratio"
"10054";"10038";"2000-01-01";"d";0.314031180400891
"10054";"10054";"2000-01-01";"d";0.236080178173719
"10054";"10383";"2000-01-01";"d";0.44988864142539
"14149";"14149";"2006-01-01";"d";0.560377358490566
"14149";"14482";"2006-01-01";"d";0.439622641509434
"22179";"22179";"2004-10-01";"d";0.704575744113727
"22179";"22201";"2004-10-01";"d";0.295424255886273
"35130";"35130";"2008-01-01";"d";0.771763644564727
"35130";"35317";"2008-01-01";"d";0.228236355435273
"47010";"47010";"2001-03-22";"d";0.553475935828877
"47157";"47157";"2003-02-03";"d";0.974562440204851
"47157";"47163";"2003-02-03";"d";0.0254375597951489
"47010";"47227";"2001-03-22";"d";0.446524064171123
"50066";"50066";"2000-01-01";"d";0.743228602383532
"50066";"50102";"2000-01-01";"d";0.256771397616468
"51136";"51136";"2006-03-01";"d";0.834916864608076
"51136";"51201";"2006-03-01";"d";0.165083135391924
"52359";"52359";"2005-01-01";"d";0.666666666666667
"52359";"52495";"2005-01-01";"d";0.333333333333333
"55419";"55068";"2004-01-01";"d";0.340764331210191
"55419";"55082";"2004-01-01";"d";0.162420382165605
"55419";"55419";"2004-01-01";"d";0.496815286624204
"62119";"62119";"2008-01-01";"d";0.930049537996697
"62119";"62847";"2008-01-01";"d";0.0699504620033025
"64269";"64269";"2001-03-11";"d";0.626817171198905
"64269";"64439";"2001-03-11";"d";0.233795108602702
"64269";"64518";"2001-03-11";"d";0.139387720198392
"67242";"67057";"2007-01-01";"d";0.254014598540146
"67242";"67242";"2007-01-01";"d";0.745985401459854
"71543";"71353";"2001-03-11";"d";0.09003861003861
"71543";"71543";"2001-03-11";"d";0.90996138996139
"74210";"74106";"2001-02-19";"d";0.314761904761905
"74210";"74210";"2001-02-19";"d";0.685238095238095
"89055";"89055";"2003-12-31";"d";0.940218999704054
"89055";"89288";"2003-12-31";"d";0.0597810002959455
"26091";"26091";"2002-01-01";"f";1
"26158";"26091";"2002-01-01";"f";1
"39367";"39367";"2007-01-01";"f";1
"39524";"39367";"2007-01-01";"f";1
"49206";"49206";"2000-02-29";"f";1
"49210";"49206";"2000-02-29";"f";1
"50129";"50129";"2000-02-28";"f";1
"50383";"50129";"2000-02-28";"f";1
"50216";"50216";"2007-03-08";"f";1
"50303";"50216";"2007-03-08";"f";1
"59350";"59350";"2000-02-27";"f";1
"59355";"59350";"2000-02-27";"f";1
"61136";"61136";"2002-01-01";"f";1
"61254";"61136";"2002-01-01";"f";1
"61022";"61483";"2000-01-01";"f";1
"61483";"61483";"2000-01-01";"f";1
"71211";"71443";"2003-01-01";"f";1
"71443";"71443";"2003-01-01";"f";1
"79013";"79013";"2006-09-01";"f";1
"79037";"79013";"2006-09-01";"f";1
"79305";"79013";"2006-09-01";"f";1
"79017";"79195";"2001-03-11";"f";1
"79195";"79195";"2001-03-11";"f";1
"80369";"80369";"2007-01-01";"f";1
"80370";"80369";"2007-01-01";"f";1
"81107";"81132";"2007-06-29";"f";1
"81132";"81132";"2007-06-29";"f";1
"85036";"85036";"2007-10-04";"f";1
"85068";"85036";"2007-10-04";"f";1
