"CODGEO";"LIBGEO";"POP"
"01001";"ABERGEMENT-CLEMENCIAT";444
"01002";"ABERGEMENT-DE-VAREY";168
"01004";"AMBERIEU-EN-BUGEY";10328
"01005";"AMBERIEUX-EN-DOMBES";904
"01006";"AMBLEON";36
"01007";"AMBRONAY";1756
"01008";"AMBUTRIX";412
"01009";"ANDERT-ET-CONDON";228
"01010";"ANGLEFORT";736
"01011";"APREMONT";288
"01012";"ARANC";240
"01013";"ARANDAS";148
"01014";"ARBENT";2776
"01015";"ARBIGNIEU";380
"01016";"ARBIGNY";304
"01017";"ARGIS";588
"01019";"ARMIX";20
"01021";"ARS-SUR-FORMANS";676
"01022";"ARTEMARE";904
"01023";"ASNIERES-SUR-SAONE";56
"01024";"ATTIGNAT";1664
"01025";"BAGE-LA-VILLE";1540
"01026";"BAGE-LE-CHATEL";624
"01027";"BALAN";1140
"01028";"BANEINS";352
"01029";"BEAUPONT";364
"01030";"BEAUREGARD";668
"01031";"BELLIGNAT";2688
"01032";"BELIGNEUX";1544
"01033";"BELLEGARDE-SUR-VALSERINE";11148
"01034";"BELLEY";7912
"01035";"BELLEYDOUX";224
"01036";"BELMONT-LUTHEZIEU";276
"01037";"BENONCES";276
"01038";"BENY";556
"01039";"BEON";424
"01040";"BEREZIAT";248
"01041";"BETTANT";652
"01042";"BEY";168
"01043";"BEYNOST";2696
"01044";"BILLIAT";400
"01045";"BIRIEUX";116
"01046";"BIZIAT";508
"01047";"BLYES";340
"01049";"BOISSE";1872
"01050";"BOISSEY";196
"01051";"BOLOZON";96
"01052";"BOULIGNEUX";276
"01053";"BOURG-EN-BRESSE";41748
"01054";"BOURG-SAINT-CHRISTOPHE";656
"01056";"BOYEUX-SAINT-JEROME";292
"01057";"BOZ";280
"01058";"BREGNIER-CORDON";492
"01059";"BRENAZ";76
"01060";"BRENOD";416
"01061";"BRENS";460
"01062";"BRESSOLLES";464
"01063";"BRION";508
"01064";"BRIORD";636
"01065";"BUELLAS";1024
"01066";"BURBANCHE";24
"01067";"CEIGNES";112
"01068";"CERDON";672
"01069";"CERTINES";656
"01071";"CESSY";964
"01072";"CEYZERIAT";2028
"01073";"CEYZERIEU";720
"01074";"CHALAMONT";1436
"01075";"CHALEINS";556
"01076";"CHALEY";100
"01077";"CHALLES-LA-MONTAGNE";148
"01078";"CHALLEX";740
"01079";"CHAMPAGNE-EN-VALROMEY";752
"01080";"CHAMPDOR";372
"01081";"CHAMPFROMIER";312
"01082";"CHANAY";424
"01083";"CHANEINS";460
"01084";"CHANOZ-CHATENAY";412
"01085";"CHAPELLE-DU-CHATELARD";288
"01087";"CHARIX";268
"01088";"CHARNOZ-SUR-AIN";216
"01089";"CHATEAU-GAILLARD";828
"01090";"CHATENAY";276
"01091";"CHATILLON-EN-MICHAILLE";2016
"01092";"CHATILLON-LA-PALUD";892
"01093";"CHATILLON-SUR-CHALARONNE";3308
"01094";"CHAVANNES-SUR-REYSSOUZE";576
"01095";"CHAVANNES-SUR-SURAN";412
"01096";"CHAVEYRIAT";508
"01097";"CHAVORNAY";176
"01098";"CHAZEY-BONS";696
"01099";"CHAZEY-SUR-AIN";792
"01100";"CHEIGNIEU-LA-BALME";148
"01101";"CHEVILLARD";156
