"cod1982";"cod1975";"annee";"typemodif";"ratio"
"2A001";"20001";"1976-01-01";"c";1
"2B002";"20002";"1976-01-01";"c";1
"2B003";"20003";"1976-01-01";"c";1
"2A004";"20004";"1976-01-01";"c";1
"2B005";"20005";"1976-01-01";"c";1
"2A006";"20006";"1976-01-01";"c";1
"2B007";"20007";"1976-01-01";"c";1
"2A008";"20008";"1976-01-01";"c";1
"2B009";"20009";"1976-01-01";"c";1
"2B010";"20010";"1976-01-01";"c";1
"2A011";"20011";"1976-01-01";"c";1
"2B012";"20012";"1976-01-01";"c";1
"2B013";"20013";"1976-01-01";"c";1
"2A014";"20014";"1976-01-01";"c";1
"2B015";"20015";"1976-01-01";"c";1
"2B016";"20016";"1976-01-01";"c";1
"2A017";"20017";"1976-01-01";"c";1
"2A018";"20018";"1976-01-01";"c";1
"2A019";"20019";"1976-01-01";"c";1
"2B020";"20020";"1976-01-01";"c";1
"2A021";"20021";"1976-01-01";"c";1
"2A022";"20022";"1976-01-01";"c";1
"2B023";"20023";"1976-01-01";"c";1
"2A024";"20024";"1976-01-01";"c";1
"2B025";"20025";"1976-01-01";"c";1
"2A026";"20026";"1976-01-01";"c";1
"2A027";"20027";"1976-01-01";"c";1
"2A028";"20028";"1976-01-01";"c";1
"2B029";"20029";"1976-01-01";"c";1
"2B030";"20030";"1976-01-01";"c";1
"2A031";"20031";"1976-01-01";"c";1
"2A032";"20032";"1976-01-01";"c";1
"2B033";"20033";"1976-01-01";"c";1
"2B034";"20034";"1976-01-01";"c";1
"2A035";"20035";"1976-01-01";"c";1
"2B036";"20036";"1976-01-01";"c";1
"2B037";"20037";"1976-01-01";"c";1
"2A038";"20038";"1976-01-01";"c";1
"2B039";"20039";"1976-01-01";"c";1
"2A040";"20040";"1976-01-01";"c";1
"2A041";"20041";"1976-01-01";"c";1
"2B042";"20042";"1976-01-01";"c";1
"2B043";"20043";"1976-01-01";"c";1
"2B045";"20045";"1976-01-01";"c";1
"2B046";"20046";"1976-01-01";"c";1
"2B047";"20047";"1976-01-01";"c";1
"2A048";"20048";"1976-01-01";"c";1
"2B049";"20049";"1976-01-01";"c";1
"2B050";"20050";"1976-01-01";"c";1
"2B051";"20051";"1976-01-01";"c";1
"2B052";"20052";"1976-01-01";"c";1
"2B053";"20053";"1976-01-01";"c";1
"2B054";"20054";"1976-01-01";"c";1
"2B055";"20055";"1976-01-01";"c";1
"2A056";"20056";"1976-01-01";"c";1
"2B057";"20057";"1976-01-01";"c";1
"2B058";"20058";"1976-01-01";"c";1
"2B059";"20059";"1976-01-01";"c";1
"2A060";"20060";"1976-01-01";"c";1
"2A061";"20061";"1976-01-01";"c";1
"2A062";"20062";"1976-01-01";"c";1
"2B063";"20063";"1976-01-01";"c";1
"2A064";"20064";"1976-01-01";"c";1
"2A065";"20065";"1976-01-01";"c";1
"2A066";"20066";"1976-01-01";"c";1
"2B067";"20067";"1976-01-01";"c";1
"2B068";"20068";"1976-01-01";"c";1
"2B069";"20069";"1976-01-01";"c";1
"2A070";"20070";"1976-01-01";"c";1
"2A071";"20071";"1976-01-01";"c";1
