"cod2015";"cod2014";"annee";"typemodif";"ratio"
"14474";"14178";"2015-01-01";"d";0.278481012658228
"14474";"14474";"2015-01-01";"d";0.721518987341772
"25035";"25034";"2015-01-01";"d";0.533094098883573
"25035";"25035";"2015-01-01";"d";0.466905901116427
"28185";"28069";"2015-01-01";"d";0.217011128775835
"28185";"28185";"2015-01-01";"d";0.782988871224165
"38152";"38024";"2015-01-01";"d";0.462121212121212
"38152";"38152";"2015-01-01";"d";0.537878787878788
"60570";"60417";"2015-01-01";"d";0.106471816283925
"60570";"60570";"2015-01-01";"d";0.893528183716075
"61486";"61031";"2015-01-01";"d";0.0499108734402852
"61292";"61109";"2015-01-01";"d";0.195156695156695
"61486";"61177";"2015-01-01";"d";0.167557932263815
"61486";"61223";"2015-01-01";"d";0.0649633590810061
"61375";"61249";"2015-01-01";"d";0.173622704507513
"61292";"61292";"2015-01-01";"d";0.804843304843305
"61375";"61375";"2015-01-01";"d";0.209515859766277
"61486";"61377";"2015-01-01";"d";0.127351950881363
"61486";"61410";"2015-01-01";"d";0.0348583877995643
"61375";"61417";"2015-01-01";"d";0.333889816360601
"61486";"61486";"2015-01-01";"d";0.523271935036641
"61375";"61511";"2015-01-01";"d";0.282971619365609
"61486";"61513";"2015-01-01";"d";0.0320855614973262
"69255";"69221";"2015-01-01";"d";0.0519730510105871
"69255";"69255";"2015-01-01";"d";0.948026948989413
"71578";"71138";"2015-01-01";"d";0.333333333333333
"71578";"71578";"2015-01-01";"d";0.666666666666667
"72137";"72069";"2015-01-01";"d";0.0809843400447427
"72137";"72137";"2015-01-01";"d";0.420134228187919
"72137";"72162";"2015-01-01";"d";0.175391498881432
"72137";"72207";"2015-01-01";"d";0.0161073825503356
"72137";"72258";"2015-01-01";"d";0.107829977628635
"72137";"72318";"2015-01-01";"d";0.199552572706935
"73263";"73263";"2015-01-01";"d";0.71340206185567
"73263";"73264";"2015-01-01";"d";0.28659793814433
"77316";"77166";"2015-01-01";"d";0.366352664115396
"77316";"77316";"2015-01-01";"d";0.633647335884604
"55138";"55298";"2014-01-01";"f";1
"55298";"55298";"2014-01-01";"f";1
