"cod2015";"cod2016";"annee";"typemodif";"ratio"
"01015";"01015";"2016-01-01";"f";1
"01340";"01015";"2016-01-01";"f";1
"01080";"01080";"2016-01-01";"f";1
"01119";"01080";"2016-01-01";"f";1
"01176";"01187";"2016-01-01";"f";1
"01187";"01187";"2016-01-01";"f";1
"01292";"01187";"2016-01-01";"f";1
"01409";"01187";"2016-01-01";"f";1
"01204";"01204";"2016-01-01";"f";1
"01300";"01204";"2016-01-01";"f";1
"01271";"01286";"2016-01-01";"f";1
"01286";"01286";"2016-01-01";"f";1
"01182";"01338";"2016-01-01";"f";1
"01338";"01338";"2016-01-01";"f";1
"01312";"01426";"2016-01-01";"f";1
"01426";"01426";"2016-01-01";"f";1
"02053";"02053";"2016-01-01";"f";1
"02161";"02053";"2016-01-01";"f";1
"02669";"02053";"2016-01-01";"f";1
"02348";"02439";"2016-01-01";"f";1
"02439";"02439";"2016-01-01";"f";1
"02479";"02439";"2016-01-01";"f";1
"02597";"02439";"2016-01-01";"f";1
"02646";"02439";"2016-01-01";"f";1
"02771";"02439";"2016-01-01";"f";1
"02811";"02439";"2016-01-01";"f";1
"02026";"02458";"2016-01-01";"f";1
"02147";"02458";"2016-01-01";"f";1
"02325";"02458";"2016-01-01";"f";1
"02458";"02458";"2016-01-01";"f";1
"03123";"03158";"2016-01-01";"f";1
"03153";"03158";"2016-01-01";"f";1
"03158";"03158";"2016-01-01";"f";1
"04100";"04120";"2016-01-01";"f";1
"04120";"04120";"2016-01-01";"f";1
"05053";"05053";"2016-01-01";"f";1
"05069";"05053";"2016-01-01";"f";1
"05143";"05053";"2016-01-01";"f";1
"05005";"05118";"2016-01-01";"f";1
"05034";"05118";"2016-01-01";"f";1
"05118";"05118";"2016-01-01";"f";1
"08114";"08115";"2016-01-01";"f";1
"08115";"08115";"2016-01-01";"f";1
"08007";"08116";"2016-01-01";"f";1
"08116";"08116";"2016-01-01";"f";1
"08261";"08116";"2016-01-01";"f";1
"08145";"08145";"2015-09-15";"f";1
"08267";"08145";"2015-09-15";"f";1
"08198";"08198";"2016-01-01";"f";1
"08441";"08198";"2016-01-01";"f";1
"08009";"08311";"2016-01-01";"f";1
"08311";"08311";"2016-01-01";"f";1
"10003";"10003";"2016-01-01";"f";1
"10277";"10003";"2016-01-01";"f";1
"10415";"10003";"2016-01-01";"f";1
"11080";"11080";"2016-01-01";"f";1
"11171";"11080";"2016-01-01";"f";1
"11050";"11304";"2016-01-01";"f";1
"11304";"11304";"2016-01-01";"f";1
"12021";"12021";"2016-01-01";"f";1
"12245";"12021";"2016-01-01";"f";1
"12285";"12021";"2016-01-01";"f";1
"12076";"12076";"2016-01-01";"f";1
"12114";"12076";"2016-01-01";"f";1
"12173";"12076";"2016-01-01";"f";1
"12218";"12076";"2016-01-01";"f";1
"12120";"12120";"2016-01-01";"f";1
"12271";"12120";"2016-01-01";"f";1
"12081";"12177";"2016-01-01";"f";1
"12087";"12177";"2016-01-01";"f";1
"12177";"12177";"2016-01-01";"f";1
"12005";"12223";"2016-01-01";"f";1
"12112";"12223";"2016-01-01";"f";1
"12117";"12223";"2016-01-01";"f";1
"12223";"12223";"2016-01-01";"f";1
"12279";"12223";"2016-01-01";"f";1
"12304";"12223";"2016-01-01";"f";1
"12014";"12224";"2016-01-01";"f";1
"12224";"12224";"2016-01-01";"f";1
"12040";"12270";"2016-01-01";"f";1
"12123";"12270";"2016-01-01";"f";1
"12126";"12270";"2016-01-01";"f";1
"12196";"12270";"2016-01-01";"f";1
"12270";"12270";"2016-01-01";"f";1
"14014";"14014";"2016-01-01";"f";1
"14170";"14014";"2016-01-01";"f";1
"14035";"14035";"2016-01-01";"f";1
"14727";"14035";"2016-01-01";"f";1
"14037";"14037";"2016-01-01";"f";1
"14553";"14037";"2016-01-01";"f";1
"14052";"14061";"2016-01-01";"f";1
"14061";"14061";"2016-01-01";"f";1
"14115";"14061";"2016-01-01";"f";1
"14129";"14061";"2016-01-01";"f";1
"14139";"14061";"2016-01-01";"f";1
"14255";"14061";"2016-01-01";"f";1
"14264";"14061";"2016-01-01";"f";1
"14317";"14061";"2016-01-01";"f";1
"14395";"14061";"2016-01-01";"f";1
"14440";"14061";"2016-01-01";"f";1
"14441";"14061";"2016-01-01";"f";1
"14443";"14061";"2016-01-01";"f";1
"14532";"14061";"2016-01-01";"f";1
"14573";"14061";"2016-01-01";"f";1
"14618";"14061";"2016-01-01";"f";1
"14629";"14061";"2016-01-01";"f";1
"14632";"14061";"2016-01-01";"f";1
"14636";"14061";"2016-01-01";"f";1
"14655";"14061";"2016-01-01";"f";1
"14704";"14061";"2016-01-01";"f";1
"14152";"14174";"2016-01-01";"f";1
"14174";"14174";"2016-01-01";"f";1
"14361";"14174";"2016-01-01";"f";1
"14523";"14174";"2016-01-01";"f";1
"14585";"14174";"2016-01-01";"f";1
"14653";"14174";"2016-01-01";"f";1
"14028";"14371";"2016-01-01";"f";1
"14029";"14371";"2016-01-01";"f";1
"14058";"14371";"2016-01-01";"f";1
"14148";"14371";"2016-01-01";"f";1
"14155";"14371";"2016-01-01";"f";1
"14210";"14371";"2016-01-01";"f";1
"14259";"14371";"2016-01-01";"f";1
"14265";"14371";"2016-01-01";"f";1
"14330";"14371";"2016-01-01";"f";1
"14371";"14371";"2016-01-01";"f";1
"14414";"14371";"2016-01-01";"f";1
"14418";"14371";"2016-01-01";"f";1
"14420";"14371";"2016-01-01";"f";1
"14429";"14371";"2016-01-01";"f";1
"14459";"14371";"2016-01-01";"f";1
"14471";"14371";"2016-01-01";"f";1
"14518";"14371";"2016-01-01";"f";1
"14615";"14371";"2016-01-01";"f";1
"14633";"14371";"2016-01-01";"f";1
"14634";"14371";"2016-01-01";"f";1
"14638";"14371";"2016-01-01";"f";1
"14696";"14371";"2016-01-01";"f";1
"14432";"14475";"2016-01-01";"f";1
"14475";"14475";"2016-01-01";"f";1
"14356";"14543";"2016-01-01";"f";1
"14543";"14543";"2016-01-01";"f";1
"14670";"14543";"2016-01-01";"f";1
"14154";"14570";"2016-01-01";"f";1
"14570";"14570";"2016-01-01";"f";1
"14599";"14570";"2016-01-01";"f";1
"14647";"14570";"2016-01-01";"f";1
"14693";"14570";"2016-01-01";"f";1
"14105";"14576";"2016-01-01";"f";1
"14153";"14576";"2016-01-01";"f";1
"14576";"14576";"2016-01-01";"f";1
"14583";"14576";"2016-01-01";"f";1
"14188";"14579";"2016-01-01";"f";1
"14579";"14579";"2016-01-01";"f";1
"14144";"14689";"2016-01-01";"f";1
"14213";"14689";"2016-01-01";"f";1
"14324";"14689";"2016-01-01";"f";1
"14628";"14689";"2016-01-01";"f";1
"14689";"14689";"2016-01-01";"f";1
"14065";"14726";"2016-01-01";"f";1
"14113";"14726";"2016-01-01";"f";1
"14156";"14726";"2016-01-01";"f";1
"14222";"14726";"2016-01-01";"f";1
"14253";"14726";"2016-01-01";"f";1
"14442";"14726";"2016-01-01";"f";1
"14503";"14726";"2016-01-01";"f";1
"14521";"14726";"2016-01-01";"f";1
"14539";"14726";"2016-01-01";"f";1
"14549";"14726";"2016-01-01";"f";1
"14564";"14726";"2016-01-01";"f";1
"14686";"14726";"2016-01-01";"f";1
"14726";"14726";"2016-01-01";"f";1
"14746";"14726";"2016-01-01";"f";1
"14292";"14740";"2016-01-01";"f";1
"14740";"14740";"2016-01-01";"f";1
"14187";"14762";"2016-01-01";"f";1
"14388";"14762";"2016-01-01";"f";1
"14545";"14762";"2016-01-01";"f";1
"14584";"14762";"2016-01-01";"f";1
"14717";"14762";"2016-01-01";"f";1
"14718";"14762";"2016-01-01";"f";1
"14730";"14762";"2016-01-01";"f";1
"14762";"14762";"2016-01-01";"f";1
"15068";"15108";"2016-01-01";"f";1
"15108";"15108";"2016-01-01";"f";1
"15195";"15108";"2016-01-01";"f";1
"15197";"15108";"2016-01-01";"f";1
"15071";"15181";"2016-01-01";"f";1
"15181";"15181";"2016-01-01";"f";1
"15150";"15268";"2016-01-01";"f";1
"15268";"15268";"2016-01-01";"f";1
"16082";"16082";"2016-01-01";"f";1
"16092";"16082";"2016-01-01";"f";1
"16172";"16082";"2016-01-01";"f";1
"16106";"16106";"2016-01-01";"f";1
"16322";"16106";"2016-01-01";"f";1
"16043";"16148";"2016-01-01";"f";1
"16148";"16148";"2016-01-01";"f";1
"16021";"16175";"2016-01-01";"f";1
"16175";"16175";"2016-01-01";"f";1
"16201";"16175";"2016-01-01";"f";1
"16257";"16175";"2016-01-01";"f";1
"16179";"16224";"2016-01-01";"f";1
"16224";"16224";"2016-01-01";"f";1
"16262";"16286";"2016-01-01";"f";1
"16286";"16286";"2016-01-01";"f";1
"16371";"16286";"2016-01-01";"f";1
"17040";"17277";"2016-01-01";"f";1
"17277";"17277";"2016-01-01";"f";1
"17238";"17295";"2016-01-01";"f";1
"17295";"17295";"2016-01-01";"f";1
"17371";"17295";"2016-01-01";"f";1
"19123";"19123";"2016-01-01";"f";1
"19282";"19123";"2016-01-01";"f";1
"21318";"21327";"2016-01-01";"f";1
"21327";"21327";"2016-01-01";"f";1
"22046";"22046";"2016-01-01";"f";1
"22066";"22046";"2016-01-01";"f";1
"22102";"22046";"2016-01-01";"f";1
"22191";"22046";"2016-01-01";"f";1
"22292";"22046";"2016-01-01";"f";1
"22297";"22046";"2016-01-01";"f";1
"22303";"22046";"2016-01-01";"f";1
"22051";"22084";"2016-01-01";"f";1
"22084";"22084";"2016-01-01";"f";1
"22093";"22093";"2016-01-01";"f";1
"22151";"22093";"2016-01-01";"f";1
"22058";"22183";"2016-01-01";"f";1
"22183";"22183";"2016-01-01";"f";1
"22080";"22203";"2016-01-01";"f";1
"22203";"22203";"2016-01-01";"f";1
"22251";"22251";"2016-01-01";"f";1
"22367";"22251";"2016-01-01";"f";1
"23149";"23149";"2016-01-01";"f";1
"23161";"23149";"2016-01-01";"f";1
"24028";"24028";"2016-01-01";"f";1
"24219";"24028";"2016-01-01";"f";1
"24310";"24028";"2016-01-01";"f";1
"24497";"24028";"2016-01-01";"f";1
"24035";"24035";"2016-01-01";"f";1
"24363";"24035";"2016-01-01";"f";1
"24013";"24053";"2016-01-01";"f";1
"24053";"24053";"2016-01-01";"f";1
"24439";"24053";"2016-01-01";"f";1
"24064";"24064";"2016-01-01";"f";1
"24430";"24064";"2016-01-01";"f";1
"24142";"24142";"2016-01-01";"f";1
"24298";"24142";"2016-01-01";"f";1
"24118";"24316";"2016-01-01";"f";1
"24316";"24316";"2016-01-01";"f";1
"24362";"24362";"2016-01-01";"f";1
"24435";"24362";"2016-01-01";"f";1
"24343";"24376";"2016-01-01";"f";1
"24376";"24376";"2016-01-01";"f";1
"24239";"24540";"2016-01-01";"f";1
"24540";"24540";"2016-01-01";"f";1
"25028";"25424";"2016-01-01";"f";1
"25128";"25424";"2016-01-01";"f";1
"25302";"25424";"2016-01-01";"f";1
"25424";"25424";"2016-01-01";"f";1
"25480";"25424";"2016-01-01";"f";1
"25585";"25424";"2016-01-01";"f";1
"25076";"25434";"2016-01-01";"f";1
"25434";"25434";"2016-01-01";"f";1
"25438";"25438";"2016-01-01";"f";1
"25509";"25438";"2016-01-01";"f";1
"25529";"25529";"2016-01-01";"f";1
"25530";"25529";"2016-01-01";"f";1
"26001";"26001";"2016-01-01";"f";1
"26187";"26001";"2016-01-01";"f";1
"26179";"26179";"2016-01-01";"f";1
"26366";"26179";"2016-01-01";"f";1
"27011";"27011";"2016-01-01";"f";1
"27506";"27011";"2016-01-01";"f";1
"27022";"27022";"2016-01-01";"f";1
"27519";"27022";"2016-01-01";"f";1
"27687";"27022";"2016-01-01";"f";1
"27032";"27032";"2016-01-01";"f";1
"27172";"27032";"2016-01-01";"f";1
"27634";"27032";"2016-01-01";"f";1
"27007";"27049";"2016-01-01";"f";1
"27041";"27049";"2016-01-01";"f";1
"27049";"27049";"2016-01-01";"f";1
"27088";"27049";"2016-01-01";"f";1
"27221";"27049";"2016-01-01";"f";1
"27283";"27049";"2016-01-01";"f";1
"27292";"27049";"2016-01-01";"f";1
"27296";"27049";"2016-01-01";"f";1
"27356";"27049";"2016-01-01";"f";1
"27362";"27049";"2016-01-01";"f";1
"27499";"27049";"2016-01-01";"f";1
"27513";"27049";"2016-01-01";"f";1
"27515";"27049";"2016-01-01";"f";1
"27566";"27049";"2016-01-01";"f";1
