"cod2014";"cod2015";"annee";"typemodif";"ratio"
"55298";"55138";"2014-01-01";"d";0.338362068965517
"55298";"55298";"2014-01-01";"d";0.661637931034483
"14178";"14474";"2015-01-01";"f";1
"14474";"14474";"2015-01-01";"f";1
"25034";"25035";"2015-01-01";"f";1
"25035";"25035";"2015-01-01";"f";1
"28069";"28185";"2015-01-01";"f";1
"28185";"28185";"2015-01-01";"f";1
"38024";"38152";"2015-01-01";"f";1
"38152";"38152";"2015-01-01";"f";1
"60417";"60570";"2015-01-01";"f";1
"60570";"60570";"2015-01-01";"f";1
"61109";"61292";"2015-01-01";"f";1
"61292";"61292";"2015-01-01";"f";1
"61249";"61375";"2015-01-01";"f";1
"61375";"61375";"2015-01-01";"f";1
"61417";"61375";"2015-01-01";"f";1
"61511";"61375";"2015-01-01";"f";1
"61031";"61486";"2015-01-01";"f";1
"61177";"61486";"2015-01-01";"f";1
"61223";"61486";"2015-01-01";"f";1
"61377";"61486";"2015-01-01";"f";1
"61410";"61486";"2015-01-01";"f";1
"61486";"61486";"2015-01-01";"f";1
"61513";"61486";"2015-01-01";"f";1
"69221";"69255";"2015-01-01";"f";1
"69255";"69255";"2015-01-01";"f";1
"71138";"71578";"2015-01-01";"f";1
"71578";"71578";"2015-01-01";"f";1
"72069";"72137";"2015-01-01";"f";1
"72137";"72137";"2015-01-01";"f";1
"72162";"72137";"2015-01-01";"f";1
"72207";"72137";"2015-01-01";"f";1
"72258";"72137";"2015-01-01";"f";1
"72318";"72137";"2015-01-01";"f";1
"73263";"73263";"2015-01-01";"f";1
"73264";"73263";"2015-01-01";"f";1
"77166";"77316";"2015-01-01";"f";1
"77316";"77316";"2015-01-01";"f";1
