"cod1968";"cod1975";"annee";"typemodif";"ratio"
"80831";"62909";"1971-01-01";"c";1
"38119";"69299";"1971-04-01";"c";1
"91143";"78143";"1969-11-29";"c";1
"91620";"78620";"1969-11-29";"c";1
"34154";"34154";"1974-10-01";"d";0.710882163554411
"34154";"34344";"1974-10-01";"d";0.289117836445589
"01018";"01033";"1971-01-01";"f";1
"01033";"01033";"1971-01-01";"f";1
"01036";"01036";"1974-11-01";"f";1
"01226";"01036";"1974-11-01";"f";1
"01079";"01079";"1973-01-01";"f";1
"01217";"01079";"1973-01-01";"f";1
"01287";"01079";"1973-01-01";"f";1
"01091";"01091";"1973-11-01";"f";1
"01278";"01091";"1973-11-01";"f";1
"01458";"01091";"1973-11-01";"f";1
"01003";"01165";"1974-01-01";"f";1
"01070";"01165";"1974-01-01";"f";1
"01165";"01165";"1974-01-01";"f";1
"01184";"01184";"1973-01-01";"f";1
"01327";"01184";"1973-01-01";"f";1
"01131";"01189";"1973-01-01";"f";1
"01189";"01189";"1973-01-01";"f";1
"01178";"01240";"1973-01-01";"f";1
"01240";"01240";"1973-01-01";"f";1
"01048";"01245";"1974-01-01";"f";1
"01245";"01245";"1974-01-01";"f";1
"01324";"01245";"1974-01-01";"f";1
"01120";"01262";"1973-01-01";"f";1
"01262";"01262";"1973-01-01";"f";1
"01267";"01267";"1973-03-01";"f";1
"01455";"01267";"1973-03-01";"f";1
"01055";"01283";"1973-01-01";"f";1
"01283";"01283";"1973-01-01";"f";1
"01440";"01283";"1973-01-01";"f";1
"01251";"01313";"1975-01-01";"f";1
"01313";"01313";"1975-01-01";"f";1
"01270";"01410";"1974-01-01";"f";1
"01410";"01410";"1974-01-01";"f";1
"01086";"01414";"1974-01-01";"f";1
"01161";"01414";"1974-01-01";"f";1
"01414";"01414";"1974-01-01";"f";1
"01137";"01426";"1972-12-01";"f";1
"01426";"01426";"1972-12-01";"f";1
"01223";"01450";"1974-01-01";"f";1
"01253";"01450";"1974-01-01";"f";1
"01450";"01450";"1974-01-01";"f";1
"02008";"02008";"1971-02-25";"f";1
"02394";"02008";"1971-02-25";"f";1
"02022";"02022";"1973-01-01";"f";1
"02113";"02022";"1973-01-01";"f";1
"02092";"02093";"1969-01-01";"f";1
"02093";"02093";"1969-01-01";"f";1
"02140";"02140";"1971-07-01";"f";1
"02436";"02140";"1971-07-01";"f";1
"02202";"02220";"1971-01-01";"f";1
"02220";"02220";"1971-01-01";"f";1
"02308";"02308";"1972-05-01";"f";1
"02700";"02308";"1972-05-01";"f";1
"02045";"02439";"1971-01-01";"f";1
"02439";"02439";"1971-01-01";"f";1
"02166";"02524";"1974-10-01";"f";1
"02524";"02524";"1974-10-01";"f";1
"02300";"02738";"1974-01-01";"f";1
"02738";"02738";"1974-01-01";"f";1
"02825";"02738";"1974-01-01";"f";1
"02437";"02757";"1971-01-01";"f";1
"02757";"02757";"1971-01-01";"f";1
"02603";"02810";"1971-07-01";"f";1
"02810";"02810";"1971-07-01";"f";1
"03199";"03315";"1972-03-01";"f";1
"03315";"03315";"1972-03-01";"f";1
"04011";"04023";"1973-04-01";"f";1
"04023";"04023";"1973-04-01";"f";1
"04082";"04023";"1973-04-01";"f";1
"04165";"04023";"1973-04-01";"f";1
"04039";"04039";"1973-07-01";"f";1
"04048";"04039";"1973-07-01";"f";1
"04078";"04039";"1973-07-01";"f";1
